Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
시험을 보다,to take an exam,시험 (exam) + 보다 (to see/to take),Phrase,어느 날 그 남자는 한양으로 과거 시험을 보러 가고 있었어요.,"One day, the man was going to Hanyang to take a civil service examination."
멀리 떨어지다,to be far away / to fall far,"멀리 (far, adverb) + 떨어지다 (to fall/drop/be separated)",Phrase,남자는 한양에서 멀리 떨어진 마을에 살았어요.,The man lived in a village far from Hanyang.
울기 시작하다,to start crying / to begin to cry,울다 (to cry) + -기 시작하다 (auxiliary verb phrase for 'to begin V-ing'),Phrase,한 까치 부부가 남자의 머리 위로 날아와서 시끄럽게 울기 시작했어요.,A magpie couple flew over the man's head and began to cry loudly.
도와달라고 하다,to ask for help,돕다 (to help) + -아/어 달라 (auxiliary verb for requesting action for oneself) + -고 하다 (to say/to quote),Phrase,도와달라고 하는 것 같았어요.,It seemed like they were asking for help.
겁에 질리다,to be terrified / to be frightened,겁 (fear) + -에 (locative particle) + 질리다 (to be overwhelmed/stunned by fear/anger),Phrase,새끼 까치들은 겁에 질려 울고 있었어요.,"The baby magpies were crying, terrified."
~을 향해,towards ~ / in the direction of ~,~을/를 (object particle) + 향하다 (to face/to head towards) + -아/어 (connective ending for adverbial use),Phrase,남자는 서둘러 뱀을 향해 활을 쏘았어요.,The man hurriedly shot an arrow towards the snake.
고맙다고 인사하다,to say thank you / to express gratitude,고맙다 (to be thankful) + -다고 (quotative particle) + 인사하다 (to greet),Phrase,까치 부부는 남자의 머리 위에서 한참을 돌며 고맙다고 인사했어요.,"The magpie couple circled over the man's head for a long time, thanking him."
어두워지다,to get dark / to become dark,어둡다 (to be dark) + -어지다 (auxiliary verb for 'to become/get V'),Phrase,한참을 걷자 주위가 어두워졌어요.,"After walking for a while, the surroundings grew dark."
자고 가다,to sleep over and leave / to stay the night,자다 (to sleep) + -고 (connective for sequential actions) + 가다 (to go),Phrase,“오늘은 여기 어디에선가 자고 가야겠구나.”,“I'll have to sleep somewhere around here tonight.”
주위를 둘러보다,to look around,주위 (surroundings) + -를 (object particle) + 둘러보다 (to look around),Phrase,잘 곳이 있는지 주위를 둘러보니 저 멀리서 불빛이 보였어요.,"As he looked around for a place to sleep, he saw a light in the distance."
문을 두드리다,to knock on the door,문 (door) + -을 (object particle) + 두드리다 (to knock/tap),Phrase,남자는 문을 두드리며 물었어요.,The man knocked on the door and asked.
~을 빌려주다,to lend ~ (to someone),~을/를 (object particle) + 빌리다 (to borrow) + -어 주다 (auxiliary verb for 'to do V for someone'),Phrase,여자는 남자에게 방도 빌려주고 저녁밥도 차려 주었어요.,The woman lent the man a room and prepared dinner for him.
저녁밥을 차려주다,to prepare dinner for someone,저녁밥 (dinner) + -을 (object particle) + 차리다 (to prepare/set) + -어 주다 (auxiliary verb for 'to do V for someone'),Phrase,여자는 남자에게 방도 빌려주고 저녁밥도 차려 주었어요.,The woman lent the man a room and prepared dinner for him.
잠이 들다,to fall asleep,잠 (sleep) + -이 (subject particle) + 들다 (to enter/to take),Phrase,먼 길을 걷느라 피곤했던 남자는 저녁밥을 먹자마자 잠이 들었어요.,"The man, tired from walking a long distance, fell asleep as soon as he ate dinner."
숨이 막히다,to choke / to have one's breath taken away,숨 (breath) + -이 (subject particle) + 막히다 (to be blocked/clogged),Phrase,조금 후 잠을 자고 있던 남자는 갑자기 숨이 막혀서 눈을 떴어요.,"A little later, the man, who had been sleeping, suddenly had his breath taken away and opened his eyes."
눈을 뜨다,to open one's eyes,눈 (eye) + -을 (object particle) + 뜨다 (to open),Phrase,조금 후 잠을 자고 있던 남자는 갑자기 숨이 막혀서 눈을 떴어요.,"A little later, the man, who had been sleeping, suddenly had his breath taken away and opened his eyes."
눈물을 흘리다,to shed tears / to cry,눈물 (tear) + -을 (object particle) + 흘리다 (to shed/spill),Phrase,남자는 자신이 죽을 거라고 생각하고 눈물을 흘렸어요.,The man thought he was going to die and shed tears.
종소리가 울리다,the sound of a bell rings,종소리 (bell sound) + -가 (subject particle) + 울리다 (to ring/reverberate),Phrase,또 종소리가 울렸어요.,And the bell rang again.
은혜를 갚다,to repay a favor / to return gratitude,은혜 (favor/grace) + -를 (object particle) + 갚다 (to repay/return),Phrase,까치 부부가 자신들의 새끼를 구해준 남자에게 은혜를 갚기 위해 몸을 부딪쳐 종을 울렸던 거예요.,The magpie couple had hit the bell with their bodies to repay the man who had saved their babies.
은혜,kindness,"恩 (은: grace, kindness) + 惠 (혜: favor, benefit)",Noun,은혜 갚은 까치,The magpie that repaid kindness.
갚다,to repay,Pure Korean,Verb,은혜 갚은 까치,The magpie that repaid kindness.
까치,magpie,Pure Korean,Noun,은혜 갚은 까치,The magpie that repaid kindness.
옛날,old days,Pure Korean,Noun,옛날에 활을 잘 쏘는 한 남자가 있었어요.,"A long time ago, there was a man who was good at shooting a bow."
활,bow,Pure Korean,Noun,옛날에 활을 잘 쏘는 한 남자가 있었어요.,"A long time ago, there was a man who was good at shooting a bow."
쏘다,to shoot,Pure Korean,Verb,옛날에 활을 잘 쏘는 한 남자가 있었어요.,"A long time ago, there was a man who was good at shooting a bow."
