Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
단군,Noun,단군 이야기,Dangun,The Dangun story.,"檀 (단: sandalwood tree) + 君 (군: sovereign, monarch)"
옛날,Noun,"아주 먼 옛날, 하늘 나라의 환인이라는 임금님이 살고 있었어요.",olden days,"A very long time ago, there lived a king named Hwanin in the heavenly realm.",Pure Korean
환인,Noun,"아주 먼 옛날, 하늘 나라의 환인이라는 임금님이 살고 있었어요.",Hwanin,"A very long time ago, there lived a king named Hwanin in the heavenly realm.","桓 (환: column, pillar, boundary marker) + 因 (인: cause, reason, origin)"
임금,Noun,"아주 먼 옛날, 하늘 나라의 환인이라는 임금님이 살고 있었어요.",king,"A very long time ago, there lived a king named Hwanin in the heavenly realm.",Pure Korean
환웅,Noun,임금님에게는 환웅이라는 아들이 있었어요.,Hwanung,The king had a son named Hwanung.,"桓 (환: column, pillar, boundary marker) + 雄 (웅: male, heroic, mighty)"
지켜보다,Verb,매일 인간 세상을 지켜보던 환웅은 인간 세상에 내려가 보고 싶었어요.,"to watch over, to observe","Hwanung, who watched over the human world every day, wanted to descend to the human world.",Pure Korean
내려가다,Verb,"""네가 인간 세상에 내려가 저곳을 더 아름답게 만들어 보아라.""","to go down, to descend","""You go down to the human world and make that place more beautiful.""",Pure Korean
감사,Noun,감사합니다,"gratitude, thanks",Thank you.,"感 (감: feel, sense) + 謝 (사: thank, apologize)"
거울,Noun,"""그리고 하늘의 물건인 이 거울과 칼, 방울을 가져가도록 해라.",mirror,"""And take this mirror, sword, and bell, which are heavenly objects.""",Pure Korean
방울,Noun,"""그리고 하늘의 물건인 이 거울과 칼, 방울을 가져가도록 해라.",bell,"""And take this mirror, sword, and bell, which are heavenly objects.""",Pure Korean
가져가다,Verb,"""그리고 하늘의 물건인 이 거울과 칼, 방울을 가져가도록 해라.",to take (away),"""And take this mirror, sword, and bell, which are heavenly objects.""",Pure Korean
내려오다,Verb,"인간들이 네가 하늘에서 내려온 것을 알고 너를 섬길 것이다.""","to come down, to descend",People will know that you came down from heaven and will serve you.,Pure Korean
섬기다,Verb,"인간들이 네가 하늘에서 내려온 것을 알고 너를 섬길 것이다.""","to serve, to worship",People will know that you came down from heaven and will serve you.,Pure Korean
신하,Noun,환웅은 3000명의 신하와 임금님이 준 하늘의 물건을 가지고 인간 세상으로 내려갔어요.,"vassal, subject, retainer",Hwanung descended to the human world with 3000 subjects and the heavenly objects given by the king.,"臣 (신: subject, minister) + 下 (하: lower, beneath)"
바람,Noun,"신하 중에는 바람, 비 그리고 구름을 다스리는 신하도 있었어요.",wind,"Among the subjects, there were also those who controlled wind, rain, and clouds.",Pure Korean
다스리다,Verb,"신하 중에는 바람, 비 그리고 구름을 다스리는 신하도 있었어요.","to govern, to rule, to control","Among the subjects, there were also those who controlled wind, rain, and clouds.",Pure Korean
