Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
혹부리,Noun,혹부리 할아버지,person with a wen/bump,Old man with a wen,Pure Korean
옛날,Noun,옛날에 턱 밑에 큰 혹이 달린 혹부리 할아버지가 살았어요.,old days,"Long ago, there lived an old man with a large wen under his chin.",Pure Korean
턱,Noun,옛날에 턱 밑에 큰 혹이 달린 혹부리 할아버지가 살았어요.,chin,"Long ago, there lived an old man with a large wen under his chin.",Pure Korean
밑,Noun,옛날에 턱 밑에 큰 혹이 달린 혹부리 할아버지가 살았어요.,under,"Long ago, there lived an old man with a large wen under his chin.",Pure Korean
혹,Noun,옛날에 턱 밑에 큰 혹이 달린 혹부리 할아버지가 살았어요.,wen,"Long ago, there lived an old man with a large wen under his chin.",Pure Korean
달리다,Verb,옛날에 턱 밑에 큰 혹이 달린 혹부리 할아버지가 살았어요.,to be attached,"Long ago, there lived an old man with a large wen attached under his chin.",Pure Korean
마음씨,Noun,할아버지는 마음씨가 착하고 노래를 잘 불렀어요.,disposition,The old man had a kind heart and sang well.,Pure Korean
부르다,Verb,할아버지는 마음씨가 착하고 노래를 잘 불렀어요.,to sing,The old man had a kind heart and sang well.,Pure Korean
나무,Noun,"어느 날, 착한 혹부리 할아버지는 나무를 구하려고 산에 갔어요.",wood,"One day, the kind old man with a wen went to the mountains to get wood.",Pure Korean
구하다,Verb,"어느 날, 착한 혹부리 할아버지는 나무를 구하려고 산에 갔어요.",to obtain,"One day, the kind old man with a wen went to the mountains to get wood.","求 (구: seek, ask, obtain) + 하다"
갑자기,Adverb,그런데 갑자기 하늘이 어두워지고 빗방울이 떨어지기 시작했어요.,suddenly,"But suddenly, the sky darkened and raindrops began to fall.",Pure Korean
빗방울,Noun,그런데 갑자기 하늘이 어두워지고 빗방울이 떨어지기 시작했어요.,raindrop,"But suddenly, the sky darkened and raindrops began to fall.",Pure Korean
떨어지다,Verb,그런데 갑자기 하늘이 어두워지고 빗방울이 떨어지기 시작했어요.,to fall,"But suddenly, the sky darkened and raindrops began to fall.",Pure Korean
시작,Noun,그런데 갑자기 하늘이 어두워지고 빗방울이 떨어지기 시작했어요.,start,"But suddenly, the sky darkened and raindrops began to fall.","始 (시: begin, start) + 作 (작: make, create)"
지,Noun,할아버지는 쉬어갈 곳이 없는지 주위를 둘러보았어요.,matter,"The old man looked around, wondering if there was a place to rest.",Pure Korean
주위,Noun,할아버지는 쉬어갈 곳이 없는지 주위를 둘러보았어요.,surroundings,"The old man looked around, wondering if there was a place to rest.","周 (주: circumference, around) + 圍 (위: surround, enclose)"
둘러보다,Verb,할아버지는 쉬어갈 곳이 없는지 주위를 둘러보았어요.,to look around,"The old man looked around, wondering if there was a place to rest.",Pure Korean
그때,Noun,"그때, 저 멀리 집 하나가 보였어요.",then,"At that time, a house was visible far away.",Pure Korean
멀리,Adverb,"그때, 저 멀리 집 하나가 보였어요.",far,"At that time, a house was visible far away.",Pure Korean
가까이,Adverb,가까이 가서 보니 아무도 살지 않는 허름한 집이었어요.,close,"When he went closer, he saw it was a shabby house where no one lived.",Pure Korean
하룻밤,Noun,할아버지는 그 집에서 하룻밤 자고 가야겠다고 생각하고 집 안으로 들어갔어요.,one night,The old man thought he should spend one night in that house and went inside.,Pure Korean
라,Noun,"그래서 할아버지는 노래를 부르기 시작했어요.
""다라 다라 밝은 다라""
""다라 다라 밝은 다라""",La,"So the old man began to sing.
""La la bright la""
""La la bright la""",Pure Korean
절,Noun,"""얼씨구 절씨구, 좋구나 좋아!""",section,"""Eolsigu jeolsigu, how good it is!""","節 (절: section, knot, verse)"
구,Noun,"""얼씨구 절씨구, 좋구나 좋아!""",phrase,"""Eolsigu jeolsigu, how good it is!""","句 (구: phrase, line)"
놀라다,Verb,할아버지는 너무 놀라서 뒤를 돌아봤어요.,to be surprised,The old man was so surprised that he looked back.,Pure Korean
뒤,Noun,할아버지는 너무 놀라서 뒤를 돌아봤어요.,back,The old man was so surprised that he looked back.,Pure Korean
돌아보다,Verb,할아버지는 너무 놀라서 뒤를 돌아봤어요.,to look back,The old man was so surprised that he looked back.,Pure Korean
생기다,Verb,무섭게 생긴 도깨비들이 할아버지를 보고 있었어요.,to look,Frightening-looking goblins were watching the old man.,Pure Korean
도깨비,Noun,무섭게 생긴 도깨비들이 할아버지를 보고 있었어요.,goblin,Frightening-looking goblins were watching the old man.,Pure Korean
어서,Adverb,"어서 말해봐!""",quickly,"""Come on, tell me!""",Pure Korean
표정,Noun,도깨비들이 무서운 표정으로 할아버지에게 물었어요.,expression,The goblins asked the old man with a scary expression.,"表 (표: surface, express) + 情 (정: feeling, emotion)"
정신,Noun,정신 차리자.,senses,Let's come to our senses.,"精 (정: essence, spirit) + 神 (신: god, spirit, mind)"
차리다,Verb,정신 차리자.,to come to one's senses,Let's come to our senses.,Pure Korean
무사히,Adverb,어떻게 말해야 여기서 무사히 나갈 수 있을까?',safely,'How should I speak to get out of here safely?',"無 (무: not, without) + 事 (사: event, matter) + 히 (adverbial suffix)"
사실,Adverb,사실 이 혹이 바로 노래 주머니예요.,actually,"Actually, this bump is a song pouch.","事 (사: event, matter) + 實 (실: truth, reality)"
주머니,Noun,사실 이 혹이 바로 노래 주머니예요.,pouch,"Actually, this bump is a song pouch.",Pure Korean
내다,Verb,그럼 그 혹을 우리에게 내놔.,"to give (out), to hand over",Then hand over that bump to us.,Pure Korean
대신,Noun,"대신 우리가 보물을 줄게.""",instead,"""Instead, we'll give you treasure.""","代 (대: substitute, replace) + 身 (신: body, person)"
보물,Noun,"대신 우리가 보물을 줄게.""",treasure,"""Instead, we'll give you treasure.""","寶 (보: treasure, precious) + 物 (물: thing, object)"
방망이,Noun,도깨비는 할아버지의 대답은 듣지도 않고 도깨비방망이로 할아버지의 혹을 툭 쳤어요.,club,"The goblin, without even listening to the old man's answer, gently hit the old man's bump with a magic club.",Pure Korean
