Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
사이좋게 지내다,to get along well,"사이 (relationship) + 좋게 (good/adverb) + 지내다 (to spend time)",Phrase,형제끼리 항상 사이좋게 지내야 합니다.,"Brothers and sisters should always get along well with each other."
나눠 가지다,"to share, to divide and take","나누다 (to divide) + 어 (connector) + 가지다 (to take)",Phrase,이 케이크를 세 명이서 나눠 가지자.,"Let's divide and share this cake among the three of us."
~(이)라서,because it is [Noun],"이 (to be) + 라서 (because of/since)",Grammar Point,오늘은 휴일이라서 회사가 문을 닫았어요.,"The company is closed today because it is a holiday."
~지 못해?,won't you...? / you better... (strong command),"지 못하다 (cannot) + ? (question mark denoting rhetorical command)",Phrase,당장 방을 치우지 못해?,"Won't you clean your room right now?"
~인가 보다,it seems to be / I guess it is,"이 (to be) + ㄴ가 (question ending) + 보다 (to guess/see)",Grammar Point,저 사람이 새로 온 선생님인가 봐요.,"I guess that person is the new teacher."
빙글빙글,round and round,"빙글 (mimicking a turning or spinning motion)",Mimetic Word (Adverb),아이가 신나서 마당을 빙글빙글 돌고 있어요.,"The child is excited and spinning round and round in the yard."
툭,with a plop / dropping lightly,"툭 (sound/motion of something dropping suddenly)",Mimetic Word (Adverb),그는 책상 위에 가방을 툭 던졌다.,"He tossed his bag lightly onto the desk."
마음이 아프다,to be heartbroken / sad,"마음 (heart/mind) + 이 (subject marker) + 아프다 (to hurt)",Phrase,그 슬픈 뉴스를 듣고 정말 마음이 아팠어요.,"My heart hurt so much after hearing that sad news."
어쩔 수 없이,having no choice / inevitably,"어찌하다 (to do somehow) + ㄹ 수 없다 (cannot) + 이 (adverb maker)",Phrase,비가 너무 많이 와서 어쩔 수 없이 약속을 취소했다.,"It rained so much that I had no choice but to cancel the plans."
깜짝 놀라다,"to be startled, to jump in fright","깜짝 (sudden surprise) + 놀라다 (to be surprised)",Phrase,뒤에서 갑자기 소리가 나서 깜짝 놀랐어요.,"I was startled because a sound suddenly came from behind."
주렁주렁,hanging in clusters,"주렁주렁 (sound/look of many heavy things hanging)",Mimetic Word (Adverb),포도나무에 포도가 주렁주렁 열렸어요.,"Grapes are hanging in clusters on the grapevine."
오순도순,happily and harmoniously,"오순도순 (people gathering and talking affectionately)",Mimetic Word (Adverb),우리는 난로가에 모여 오순도순 이야기를 나눴다.,"We gathered by the stove and chatted harmoniously."
벌을 받다,to be punished,"벌 (punishment) + 을 (object marker) + 받다 (to receive)",Phrase,나쁜 짓을 하면 결국 벌을 받게 됩니다.,"If you do bad things, you will eventually be punished."
진심으로,sincerely / from the bottom of one's heart,"진심 (true heart/sincerity) + 으로 (with/by)",Adverbial Phrase,여러분의 도움에 진심으로 감사드립니다.,"I sincerely thank you all for your help."
돌아가시다,to pass away (honorific),"돌다 (to turn/return) + 아 (connector) + 가시다 (to go - honorific)",Verb,할아버지께서 작년 겨울에 돌아가셨습니다.,"My grandfather passed away last winter."
욕심이 많다,to be greedy,"욕심 (greed) + 이 (subject marker) + 많다 (to be many/much)",Phrase,그 아이는 장난감에 대한 욕심이 너무 많아요.,"That child is too greedy when it comes to toys."
신이 나다,to be excited,"신 (excitement/spirit) + 이 (subject marker) + 나다 (to emerge)",Phrase,내일 여행을 가서 아이들이 무척 신이 났어요.,"The children are very excited because we are going on a trip tomorrow."
찰싹,smack / slap,"찰싹 (sound of a flat object hitting)",Mimetic Word (Adverb),파도가 바위에 찰싹 부딪히는 소리가 들렸다.,"I heard the sound of the waves smacking against the rocks."
펑,"pop, bang","펑 (sound of an explosion or popping)",Mimetic Word (Adverb),풍선이 펑 하고 터져서 깜짝 놀랐어요.,"The balloon popped with a bang, so I was startled."
뺨을 때리다,to slap the cheek,"뺨 (cheek) + 을 (object marker) + 때리다 (to hit)",Phrase,드라마 주인공이 악당의 뺨을 때렸다.,"The main character of the drama slapped the villain's cheek."
