Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
대동강,Noun,대동강을 판 김선달,Daedong River,Kim Seon-dal who sold the Daedong River.,"大 (대: great, big) + 同 (동: same, together) + 江 (강: river)"
김선달,Noun,대동강을 판 김선달,Kim Seon-dal,Kim Seon-dal who sold the Daedong River.,"金 (김: gold, metal - surname) + 先 (선: first, ahead) + 達 (달: reach, achieve - title)"
옛날,Noun,옛날에 다른 사람들을 잘 속이는 것으로 유명한 한 선달이 살고 있었어요.,olden days,"In the olden days, there lived a seondal who was famous for skillfully deceiving others.",Pure Korean
속이다,Verb,옛날에 다른 사람들을 잘 속이는 것으로 유명한 한 선달이 살고 있었어요.,to deceive,"In the olden days, there lived a seondal who was famous for skillfully deceiving others.",Pure Korean
유명,Noun,옛날에 다른 사람들을 잘 속이는 것으로 유명한 한 선달이 살고 있었어요.,famous,"In the olden days, there lived a seondal who was famous for skillfully deceiving others.","有 (유: have, exist) + 名 (명: name)"
선달,Noun,옛날에 다른 사람들을 잘 속이는 것으로 유명한 한 선달이 살고 있었어요.,seondal (a historical title for an educated man),"In the olden days, there lived a seondal who was famous for skillfully deceiving others.","先 (선: first, ahead) + 達 (달: reach, achieve)"
성,Noun,그 선달의 성이 김씨여서 사람들은 그를 '김선달'이라고 불렀어요.,surname,"Because that seondal's surname was Kim, people called him 'Kim Seon-dal'.","姓 (성: surname, family name)"
김,Noun,그 선달의 성이 김씨여서 사람들은 그를 '김선달'이라고 불렀어요.,Kim (surname),"Because that seondal's surname was Kim, people called him 'Kim Seon-dal'.","金 (김: gold, metal)"
동네,Noun,하루는 김선달이 살고 있는 동네에 한양에서 온 상인들이 왔어요.,neighborhood,"One day, merchants from Hanyang came to the neighborhood where Kim Seon-dal lived.",Pure Korean
한양,Noun,하루는 김선달이 살고 있는 동네에 한양에서 온 상인들이 왔어요.,Hanyang (historical name for Seoul),"One day, merchants from Hanyang came to the neighborhood where Kim Seon-dal lived.","漢 (한: Han (river)) + 陽 (양: sun, positive, south of river)"
상인,Noun,하루는 김선달이 살고 있는 동네에 한양에서 온 상인들이 왔어요.,merchant,"One day, merchants from Hanyang came to the neighborhood where Kim Seon-dal lived.","商 (상: commerce, trade) + 人 (인: person)"
배,Noun,상인들은 한양에서보다 두 배나 비싼 가격에 물건을 팔았어요.,"times (e.g., two times)",The merchants sold goods at a price twice as expensive as in Hanyang.,"倍 (배: times, double, multiply)"
가격,Noun,상인들은 한양에서보다 두 배나 비싼 가격에 물건을 팔았어요.,price,The merchants sold goods at a price twice as expensive as in Hanyang.,"價 (가: price, value) + 格 (격: standard, frame)"
동전,Noun,"""동전 여섯 개요?",coin,"""Six coins?""","銅 (동: copper) + 錢 (전: money, coin)"
파다,Verb,"""물건 가격은 파는 사람 마음 아니요?",to sell,"""Isn't the price of goods up to the seller?""",Pure Korean
싫다,Adjective,"싫으면 한양 가서 사시오.""",to dislike,"""If you don't like it, go to Hanyang and buy it.""",Pure Korean
어쩌다,Verb,"김선달은 어쩔 수 없이 동전 여섯 개를 주었지만, 한양 상인들이 몹시 얄미웠어요.",to manage somehow,"Kim Seon-dal had no choice but to give six coins, but the Hanyang merchants were extremely hateful.",Pure Korean
몹시,Adverb,"김선달은 어쩔 수 없이 동전 여섯 개를 주었지만, 한양 상인들이 몹시 얄미웠어요.",extremely,"Kim Seon-dal had no choice but to give six coins, but the Hanyang merchants were extremely hateful.",Pure Korean
골탕,Noun,물건을 비싸게 파는 한양 상인들을 골탕 먹이고 싶었어요.,trouble,He wanted to make trouble for the Hanyang merchants who sold goods expensively.,Pure Korean
먹이다,Verb,물건을 비싸게 파는 한양 상인들을 골탕 먹이고 싶었어요.,to cause,He wanted to make trouble for the Hanyang merchants who sold goods expensively.,Pure Korean
지나가다,Verb,김선달이 대동강 앞을 지나가고 있었어요.,to pass by,Kim Seon-dal was passing by the Daedong River.,Pure Korean
푸다,Verb,김선달의 눈에 대동강 물을 열심히 푸고 있는 사람들이 보였어요.,to scoop,Kim Seon-dal saw people diligently scooping water from the Daedong River.,Pure Korean
눈빛,Noun,김선달의 눈빛이 반짝였어요.,gaze,Kim Seon-dal's eyes sparkled.,Pure Korean
반짝이다,Verb,김선달의 눈빛이 반짝였어요.,to sparkle,Kim Seon-dal's eyes sparkled.,Pure Korean
그날,Noun,그날 밤.,that day,That night.,Pure Korean
