Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
콩쥐,Noun,콩쥐 팥쥐,Kongjwi,Kongjwi and Patjwi,Pure Korean
팥쥐,Noun,콩쥐 팥쥐,Patjwi,Kongjwi and Patjwi,Pure Korean
옛날,Noun,옛날 어느 마을에 콩쥐라는 착한 여자아이가 아버지와 함께 살고 있었어요.,olden days,"A long time ago, in a certain village, a kind girl named Kongjwi lived with her father.",Pure Korean
마을,Noun,옛날 어느 마을에 콩쥐라는 착한 여자아이가 아버지와 함께 살고 있었어요.,village,"A long time ago, in a certain village, a kind girl named Kongjwi lived with her father.",Pure Korean
착하다,Adjective,옛날 어느 마을에 콩쥐라는 착한 여자아이가 아버지와 함께 살고 있었어요.,to be kind,"A long time ago, in a certain village, a kind girl named Kongjwi lived with her father.",Pure Korean
어리다,Adjective,콩쥐의 어머니는 콩쥐가 어렸을 때 돌아가셨어요.,to be young,Kongjwi's mother passed away when Kongjwi was young.,Pure Korean
때,Noun,콩쥐의 어머니는 콩쥐가 어렸을 때 돌아가셨어요.,when,Kongjwi's mother passed away when Kongjwi was young.,Pure Korean
돌아가다,Verb,콩쥐의 어머니는 콩쥐가 어렸을 때 돌아가셨어요.,to pass away,Kongjwi's mother passed away when Kongjwi was young.,Pure Korean
새로,Adverb,그러던 어느 날 아버지가 새로 결혼을 하게 되면서 콩쥐에게 새어머니가 생겼어요.,newly,"Then one day, as her father remarried, Kongjwi got a stepmother.",Pure Korean
결혼,Noun,그러던 어느 날 아버지가 새로 결혼을 하게 되면서 콩쥐에게 새어머니가 생겼어요.,marriage,"Then one day, as her father remarried, Kongjwi got a stepmother.","結 (결: tie, bind) + 婚 (혼: marriage)"
생기다,Verb,그러던 어느 날 아버지가 새로 결혼을 하게 되면서 콩쥐에게 새어머니가 생겼어요.,to get,"Then one day, as her father remarried, Kongjwi got a stepmother.",Pure Korean
새어머니,Noun,새어머니에게는 팥쥐라는 딸이 있었어요.,stepmother,The stepmother had a daughter named Patjwi.,Pure Korean
안녕,Noun,"""어머니, 안녕하세요.",peace (greeting),"""Mother, hello.""","安 (안: peace, comfort) + 寧 (녕: peace, quiet)"
사이좋다,Adjective,"앞으로 사이좋게 지내자.""",to be on good terms,"""Let's get along well from now on.""",Pure Korean
지내다,Verb,"앞으로 사이좋게 지내자.""",to get along,"""Let's get along well from now on.""",Pure Korean
반가워하다,Verb,하지만 새어머니와 팥쥐는 콩쥐를 반가워하지 않았어요.,to welcome,"However, the stepmother and Patjwi did not welcome Kongjwi.",Pure Korean
집안일,Noun,아버지가 돌아가시자 새어머니는 팥쥐만 예뻐하고 콩쥐에게 힘든 집안일을 매일 시켰어요.,housework,"After her father passed away, the stepmother only favored Patjwi and made Kongjwi do difficult housework every day.",Pure Korean
시키다,Verb,아버지가 돌아가시자 새어머니는 팥쥐만 예뻐하고 콩쥐에게 힘든 집안일을 매일 시켰어요.,to make (someone do something),"After her father passed away, the stepmother only favored Patjwi and made Kongjwi do difficult housework every day.",Pure Korean
항아리,Noun,하루는 새어머니가 콩쥐를 불러 항아리에 물을 채우게 했어요.,jar,"One day, the stepmother called Kongjwi and made her fill a jar with water.",Pure Korean
채우다,Verb,하루는 새어머니가 콩쥐를 불러 항아리에 물을 채우게 했어요.,to fill,"One day, the stepmother called Kongjwi and made her fill a jar with water.",Pure Korean
가득,Adverb,이 항아리에 물을 가득 채워라.,full,Fill this jar to the brim with water.,Pure Korean
저녁때,Noun,"저녁때까지 다 못하면 오늘 저녁밥도 없을 줄 알아.""",dinnertime,"""If you can't finish it by dinnertime, you won't have dinner tonight.""",Pure Korean
저녁밥,Noun,"저녁때까지 다 못하면 오늘 저녁밥도 없을 줄 알아.""",dinner (meal),"""If you can't finish it by dinnertime, you won't have dinner tonight.""",Pure Korean
시작,Noun,콩쥐는 항아리에 물을 채우기 시작했어요.,start,Kongjwi started filling the jar with water.,"始 (시: begin, start) + 作 (작: make, create)"
