Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
일찍 돌아가시다,to pass away early (honorific),일찍 (early) + 돌아가다 (to return / euphemism for death) + -시- (honorific suffix),Phrase,"석봉의 아버지는 일찍 돌아가셔서, 석봉은 어머니와 둘이서 살았어요.","Seok-bong's father passed away early, so Seok-bong lived with just his mother."
관심이 많다,to have a lot of interest (in),관심 (interest) + 이/가 많다 (to be a lot/many),Phrase,석봉은 어릴 때부터 글자에 관심이 많았어요.,"From a young age, Seok-bong had a lot of interest in letters."
지루해지다,to become bored,"지루하다 (to be boring) + -아/어지다 (auxiliary verb, to become a state)",Phrase,석봉은 친구들과 노는 것이 점점 지루해졌어요.,Seok-bong gradually became bored of playing with his friends.
~고 싶다,to want to (do something),"Verb stem + -고 싶다 (auxiliary verb, expresses desire)",Phrase,"어머니, 저도 서당에 다니고 싶어요. 그리고 글자를 배우고 싶어요.","Mother, I want to attend the seodang too. And I want to learn letters."
마음이 아프다,to feel sad/heartbroken (lit. 'heart hurts'),마음 (heart/mind) + 이/가 아프다 (to hurt/be sick),Phrase,어머니는 마음이 아팠어요.,His mother was heartbroken.
글씨를 쓰다,to write (handwriting/calligraphy),글씨 (handwriting/calligraphy) + 을/를 (object particle) + 쓰다 (to write),Phrase,글자를 배워서 예쁜 글씨를 쓰고 싶어요. 화가처럼요.,I want to learn letters and write beautiful calligraphy. Like a painter.
~아/어 주다,to do (something) for (someone),"Verb stem + -아/어 (connective ending) + 주다 (auxiliary verb, indicates favor/benefit)",Phrase,"엄마가 서당은 보내줄 수 없지만, 우리 석봉이가 글씨 연습을 할 수 있는 종이는 꼭 사줄게.","I can't send you to the seodang, but I will definitely buy you paper so you can practice writing, Seok-bong."
따라 쓰다,to copy/trace (writing),따르다 (to follow) + 쓰다 (to write),Phrase,그리고 집에 돌아와서 나뭇가지로 서당에서 본 글자들을 따라 썼어요.,"And after returning home, he copied the letters he saw at the seodang with a branch."
사오다,to buy and bring,사다 (to buy) + 오다 (to come),Phrase,어머니가 종이와 붓을 사오셨어요.,His mother bought and brought paper and a brush.
~아/어 보다,to try doing (something),"Verb stem + -아/어 (connective ending) + 보다 (auxiliary verb, indicates trying/experiencing)",Phrase,석봉은 처음으로 종이 위에 글자를 써봤어요.,Seok-bong tried writing letters on paper for the first time.
기분이 날아갈 것 같다,to feel ecstatic/overjoyed (lit. 'feelings seem to fly away'),기분 (feeling) + 이/가 날아가다 (to fly away) + -ㄹ/을 것 같다 (to seem like),Phrase,종이에 글씨를 쓰는 느낌이 정말 좋아서 기분이 날아갈 것 같았어요.,The feeling of writing on paper was so good that he felt ecstatic.
떨어져서 살다,to live apart (from),"떨어지다 (to be separated/fall) + -아서/어서 (connective ending, indicates cause/sequence) + 살다 (to live)",Phrase,한양이요? 그러면 어머니와 떨어져서 살아야 하는 거예요?,Hanyang? Then I have to live apart from Mother?
각오를 하다,to be prepared/to resolve oneself,각오 (resolution/readiness) + 를/을 (object particle) + 하다 (to do),Phrase,"그럼, 그 정도 각오는 해야지.","Then, you must be prepared for that much."
~을/를 위하다,"to be for (someone/something), to care for",Noun + 을/를 (object particle) + 위하다 (to consider/be for),Phrase,"어머니도 아들과 떨어지는 것이 무척 슬펐지만, 한양에 보내는 것이 아들을 위한 일이라고 생각했어요.","His mother was very sad to be separated from her son, but she thought sending him to Hanyang was for her son's sake."
~기 시작하다,to begin to (do something),Verb stem + -기 (nominalizing suffix) + 시작하다 (to start/begin),Phrase,그리고 3년쯤 지나자 많은 사람들이 한석봉의 글씨를 칭찬하기 시작했어요.,"And after about three years, many people began to praise Han Seok-bong's calligraphy."
돈을 벌다,to earn money,돈 (money) + 을/를 (object particle) + 벌다 (to earn),Phrase,석봉은 글씨를 써주고 돈도 벌게 됐어요.,Seok-bong wrote calligraphy for others and also earned money.
보고 싶다,to miss (someone); to want to see,"보다 (to see) + -고 싶다 (auxiliary verb, expresses desire)",Phrase,"어머니, 제가 왔어요. 어머니, 보고 싶었어요.","Mother, I'm here. Mother, I missed you."
꾹 참다,to suppress/hold back (feelings) firmly,"꾹 (adverb, firmly/tightly) + 참다 (to bear/endure/suppress)",Phrase,"어머니도 그동안 아들이 정말 보고 싶었지만, 꾹 참고 단호하게 말했어요.","His mother had really missed her son during that time, but she held back firmly and spoke resolutely."
자신이 없다,to lack confidence,자신 (self-confidence) + 이/가 없다 (to not exist/have),Phrase,한석봉은 자신이 없었지만 열심히 글씨를 썼어요.,"Han Seok-bong lacked confidence, but he diligently wrote calligraphy."
최선을 다하다,to do one's best,최선 (the best/utmost) + 을/를 (object particle) + 다하다 (to exhaust/do one's utmost),Phrase,언제 어떤 상황에서도 글씨를 잘 쓸 수 있도록 최선을 다해 연습했어요.,"He practiced his best so that he could write well in any situation, at any time."
한석봉,Han Seok-bong,"韓 (한: Korea, a surname) + 石 (석: stone) + 峯 (봉: peak, summit)",Noun,한석봉과 어머니,Han Seok-bong and his mother.
마을,village,Pure Korean,Noun,어느 작은 마을에 한석봉이라는 아이가 있었어요.,"In a certain small village, there was a child named Han Seok-bong."
봉,Seok-bong (as part of a name),"峯 (봉: peak, summit)",Noun,"석봉의 아버지는 일찍 돌아가셔서, 석봉은 어머니와 둘이서 살았어요.","Seok-bong's father passed away early, so Seok-bong lived with his mother alone."
돌아가시다,to pass away (honorific),Pure Korean,Verb,"석봉의 아버지는 일찍 돌아가셔서, 석봉은 어머니와 둘이서 살았어요.","Seok-bong's father passed away early, so Seok-bong lived with his mother alone."
떡,rice cake,Pure Korean,Noun,석봉의 어머니는 떡을 만들어서 시장에 파는 일을 했어요.,Seok-bong's mother made rice cakes and sold them in the market.
시장,market,"市 (시: market, city) + 場 (장: place, ground)",Noun,석봉의 어머니는 떡을 만들어서 시장에 파는 일을 했어요.,Seok-bong's mother made rice cakes and sold them in the market.
파다,to sell,Pure Korean,Verb,석봉의 어머니는 떡을 만들어서 시장에 파는 일을 했어요.,Seok-bong's mother made rice cakes and sold them in the market.
때,time,Pure Korean,Noun,석봉은 어릴 때부터 글자에 관심이 많았어요.,Seok-bong had a lot of interest in letters from a young age.
글자,"letter, character",Pure Korean,Noun,석봉은 어릴 때부터 글자에 관심이 많았어요.,Seok-bong had a lot of interest in letters from a young age.
관심,interest,"關 (관: relation, gate) + 心 (심: heart, mind)",Noun,석봉은 어릴 때부터 글자에 관심이 많았어요.,Seok-bong had a lot of interest in letters from a young age.
나무,tree,Pure Korean,Noun,"""나무라고 읽지.""","""You read it as 'namu' (tree)."""
꼭,"exactly, just like",Pure Korean,Adverb,"글자가 꼭 예쁜 그림 같아요.""","""The characters are just like beautiful pictures."""
그림,"picture, drawing",Pure Korean,Noun,"글자가 꼭 예쁜 그림 같아요.""",The letters are just like pretty pictures.
서당,traditional village school (seodang),"書 (서: writing, book) + 堂 (당: hall, school)",Noun,"어머니가 시장에서 일을 하시는 동안, 한석봉은 서당에 가지 않는 친구들과 놀았어요.","While his mother was working at the market, Han Seok-bong played with friends who didn't go to the seodang."
점점,"gradually, little by little","漸 (점: gradually, little by little) + 漸 (점: gradually, little by little)",Adverb,"석봉의 친구들은 매일 밖에서 노는 것을 좋아했지만, 석봉은 친구들과 노는 것이 점점 지루해졌어요.","Seok-bong's friends liked playing outside every day, but Seok-bong gradually got bored of playing with his friends."
다니다,"to attend, to go to and from regularly",Pure Korean,Verb,"""어머니, 저도 서당에 다니고 싶어요.","""Mother, I want to attend seodang too."
가난,poverty,"貧 (빈: poor, poverty) + 寒 (한: cold, poverty)",Noun,석봉의 집은 아주 가난해서 서당에 다닐 수 없었거든요.,"Seok-bong's family was very poor, so he couldn't attend seodang."
글씨,"handwriting, calligraphy",Pure Korean,Noun,"""글자를 배워서 예쁜 글씨를 쓰고 싶어요.","""I want to learn letters and write beautiful handwriting."
화가,"painter, artist","畫 (화: drawing, painting) + 家 (가: expert, specialist)",Noun,"화가처럼요.""","Like a painter."""
보내다,send,Pure Korean,Verb,"""엄마가 서당은 보내줄 수 없지만, 우리 석봉이가 글씨 연습을 할 수 있는 종이는 꼭 사줄게.""","Mom can't send you to the seodang (village school), but I'll definitely buy paper for you, Seokbong, so you can practice writing."
연습,practice,"練 (연: train, practice) + 習 (습: practice, learn)",Noun,"""엄마가 서당은 보내줄 수 없지만, 우리 석봉이가 글씨 연습을 할 수 있는 종이는 꼭 사줄게.""","Mom can't send you to the seodang (village school), but I'll definitely buy paper for you, Seokbong, so you can practice writing."
실망,disappointment,"失 (실: lose, miss) + 望 (망: hope, expect)",Noun,석봉은 실망했어요.,Seokbong was disappointed.
구경,watching,Pure Korean,Noun,석봉은 매일 서당에 가서 다른 아이들이 공부하는 것을 구경했어요.,"Every day, Seokbong went to the seodang and watched other children studying."
돌아오다,return,Pure Korean,Verb,그리고 집에 돌아와서 나뭇가지로 서당에서 본 글자들을 따라 썼어요.,Then he returned home and used a branch to copy the characters he had seen at the seodang.
나뭇가지,branch,Pure Korean,Noun,그리고 집에 돌아와서 나뭇가지로 서당에서 본 글자들을 따라 썼어요.,Then he returned home and used a branch to copy the characters he had seen at the seodang.
따르다,copy,Pure Korean,Verb,그리고 집에 돌아와서 나뭇가지로 서당에서 본 글자들을 따라 썼어요.,Then he returned home and used a branch to copy the characters he had seen at the seodang.
뒤,later,Pure Korean,Noun,"한 달 뒤, 석봉의 생일이었어요.","A month later, it was Seokbong's birthday."
붓,writing brush,Pure Korean,Noun,어머니가 종이와 붓을 사오셨어요.,His mother bought paper and a brush for him.
갖다,have,Pure Korean,Verb,"""석봉아, 이거 갖고 싶었지?","""Seokbong, you wanted this, didn't you?"""
축하,congratulations,"祝 (축: celebrate, congratulate) + 賀 (하: congratulate)",Noun,"생일 축하한다.""",Happy birthday.
와,wow,Pure Korean,Adverb,"""와, 어머니!","""Wow, Mother!"""
감사,gratitude,"感 (감: feel, sense) + 謝 (사: thank, apologize)",Noun,"감사합니다.""",Thank you.
가지다,have,Pure Korean,Verb,한석봉은 종이와 붓을 가진 것만으로도 너무 기뻤어요.,Han Seokbong was so happy just by having the paper and brush.
느낌,feeling,Pure Korean,Noun,종이에 글씨를 쓰는 느낌이 정말 좋아서 기분이 날아갈 것 같았어요.,The feeling of writing on paper was so good that I felt like my spirits would soar.
날아가다,to soar,Pure Korean,Verb,종이에 글씨를 쓰는 느낌이 정말 좋아서 기분이 날아갈 것 같았어요.,The feeling of writing on paper was so good that I felt like my spirits would soar.
제대로,properly,Pure Korean,Adverb,"더 제대로 배워보고 싶어요.""","""I want to learn it more properly."""
한양,Hanyang (historical name for Seoul),"漢 (한: Han (Chinese dynasty, Korea)) + 陽 (양: yang, sun, positive, south of a river)",Noun,"""제대로 배우려면 한양으로 가서 적어도 10년 동안은 글자 공부를 해야 해.","""To learn properly, you have to go to Hanyang and study characters for at least 10 years."
적어도,at least,Pure Korean,Adverb,"""제대로 배우려면 한양으로 가서 적어도 10년 동안은 글자 공부를 해야 해.","""To learn properly, you have to go to Hanyang and study characters for at least 10 years."
양,Yang (from Hanyang),"陽 (양: yang, sun, positive, south of a river)",Noun,"""한양이요?","""Hanyang?"""
그러면,then,Pure Korean,Adverb,"그러면 어머니와 떨어져서 살아야 하는 거예요?""","""Then I would have to live separately from my mother?"""
떨어지다,to be separated,Pure Korean,Verb,"그러면 어머니와 떨어져서 살아야 하는 거예요?""","""Then I would have to live separately from my mother?"""
각오,preparedness,"覺 (각: perceive, awaken) + 悟 (오: realize, understand)",Noun,"""그럼, 그 정도 각오는 해야지.","""Well, you should be prepared for that level of commitment."
성공,success,"成 (성: achieve, accomplish) + 功 (공: merit, achievement)",Noun,글씨로 크게 성공하려면 큰 도시에 가야 하는 거야.,"To achieve great success in calligraphy, you have to go to a big city."
