Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
우렁이,Noun,우렁이 각시,pond snail,The Snail Wife,Pure Korean
각시,Noun,우렁이 각시,wife,The Snail Wife,Pure Korean
옛날,Noun,옛날에 착하고 성실한 남자가 있었어요.,old days,"A long time ago, there was a kind and diligent man.",Pure Korean
성실,Noun,옛날에 착하고 성실한 남자가 있었어요.,diligence,"A long time ago, there was a kind and diligent man.","誠 (성: sincerity, truth) + 實 (실: reality, truth)"
논,Noun,어느 날 논에서 열심히 일을 하던 남자가 혼잣말을 했어요.,rice paddy,"One day, the man who was diligently working in the rice paddy muttered to himself.",Pure Korean
혼잣말,Noun,어느 날 논에서 열심히 일을 하던 남자가 혼잣말을 했어요.,soliloquy,"One day, the man who was diligently working in the rice paddy muttered to himself.",Pure Korean
그냥,Adverb,그냥 집에 갈까?,just,Shall I just go home?,Pure Korean
놀라다,Verb,남자는 놀라서 주변을 둘러봤지만 아무도 없었어요.,to be surprised,"The man was surprised and looked around, but there was no one there.",Pure Korean
둘러보다,Verb,남자는 놀라서 주변을 둘러봤지만 아무도 없었어요.,to look around,"The man was surprised and looked around, but there was no one there.",Pure Korean
잘못,Adverb,남자는 잘못 들었다고 생각하고 다시 일하기 시작했어요.,wrongly,The man thought he had heard wrongly and started working again.,Pure Korean
시작,Noun,남자는 잘못 들었다고 생각하고 다시 일하기 시작했어요.,start,The man thought he had heard wrongly and started working again.,"始 (시: begin, start) + 作 (작: make, do)"
또,Adverb,일을 다 끝낸 남자는 또 혼잣말을 했어요.,again,"The man, who had finished all his work, muttered to himself again.",Pure Korean
들리다,Verb,작은 목소리가 또 들렸어요.,to be heard,A small voice was heard again.,Pure Korean
훨씬,Adverb,그 우렁이는 남자가 지금까지 본 우렁이들보다 훨씬 컸어요.,much,That pond snail was much bigger than any pond snails the man had seen so far.,Pure Korean
지내다,Verb,남자는 커다란 우렁이가 신기하기도 하고 혼자 지내는 것이 외롭기도 해서 우렁이를 집에 가져갔어요.,to spend time,"The man found the large pond snail wondrous and also felt lonely living alone, so he took the pond snail home.",Pure Korean
가져가다,Verb,남자는 커다란 우렁이가 신기하기도 하고 혼자 지내는 것이 외롭기도 해서 우렁이를 집에 가져갔어요.,to take away,"The man found the large pond snail wondrous and also felt lonely living alone, so he took the pond snail home.",Pure Korean
항아리,Noun,그리고 가져간 우렁이를 큰 항아리 안에 넣어두었어요.,jar,And he put the pond snail he had taken into a large jar.,Pure Korean
돌아오다,Verb,다음 날도 남자는 논에 가서 일을 하고 집에 돌아왔어요.,to return,"The next day too, the man went to the rice paddy, worked, and returned home.",Pure Korean
깜짝,Adverb,문을 열고 들어온 남자는 깜짝 놀랐어요.,with a start,"The man, who opened the door and entered, was very surprised.",Pure Korean
준비,Noun,맛있는 음식들이 준비되어 있고 집도 깨끗하게 청소되어 있었어요.,preparation,"Delicious food was prepared, and the house was also cleaned neatly.","準 (준: standard, prepare) + 備 (비: prepare, equip)"
청소,Noun,맛있는 음식들이 준비되어 있고 집도 깨끗하게 청소되어 있었어요.,cleaning,"Delicious food was prepared, and the house was also cleaned neatly.","淸 (청: clear, clean) + 掃 (소: sweep, clean)"
