Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
살고 있다,to be living / to live (continuous action),살다 (to live) + -고 있다 (auxiliary verb for continuous action),Phrase,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a small pond, a mother tree frog and a baby tree frog were living."
말을 듣다,to obey / to listen to (someone's words),말 (word/speech) + 을 (object particle) + 듣다 (to hear/listen),Phrase,아들 청개구리는 엄마 청개구리의 말을 잘 듣지 않았어요.,The baby tree frog did not listen well to the mother tree frog's words.
마음을 아프게 하다,to hurt someone's feelings / to make someone's heart ache,마음 (heart/mind) + 을 (object particle) + 아프다 (to be painful) + -게 하다 (to make something happen),Phrase,무엇이든지 거꾸로 행동해서 엄마 청개구리의 마음을 아프게 했어요.,"He did everything in reverse, hurting the mother tree frog's feelings."
-지 말다,don't do / not to do (negative imperative),Verb stem + -지 말다 (auxiliary verb for negative imperative),Phrase,"""얘야, 더러운 곳에서 놀지 말렴. 깨끗한 곳에서 놀아.""","""Hey, don't play in dirty places. Play in clean places."""
-아/어 보다,to try doing (something),Verb stem + -아/어 보다 (auxiliary verb for 'to try'),Phrase,"""얘야, 개굴개굴 하고 울어 보렴.""","""Hey, try croaking 'gaegul-gaegul'."""
-아/어 주다,to do (something) for someone,Verb stem + -아/어 주다 (auxiliary verb for 'to do something for someone'),Phrase,엄마 청개구리가 우는 법을 가르쳐 주었어요.,The mother tree frog taught him how to croak.
-ㄹ 뻔하다,to almost do (something) / to nearly do (something),Verb stem + -(으)ㄹ 뻔하다 (auxiliary verb for 'almost'),Phrase,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He was almost eaten by a snake more than once or twice.
한두 번이 아니다,not once or twice / many times,한두 번 (one or two times) + 이 (to be) + 아니다 (to not be),Phrase,하마터면 뱀한테 잡아먹힐 뻔한 적이 한두 번이 아니었어요.,He was almost eaten by a snake more than once or twice.
병에 걸리다,to get sick / to fall ill,병 (illness) + 에 (to/in) + 걸리다 (to be caught/get),Phrase,"그러던 어느 날, 엄마 청개구리가 큰 병에 걸렸어요.","Then one day, the mother tree frog fell gravely ill."
-게 되다,to come to be / to happen to do (something),Verb stem + -게 되다 (auxiliary verb for 'to come to be/to happen'),Phrase,엄마 청개구리는 자신이 곧 죽게 될 것을 알았어요.,The mother tree frog knew that she would soon die.
-면 안 되다,must not do / not allowed to do,Verb stem + -면 (conditional ending) + 안 되다 (to not be allowed/not work),Phrase,"""내가 죽으면 나를 꼭 시냇가에 묻어 주렴. 절대 산에 묻으면 안 돼.""","""When I die, be sure to bury me by the stream. You absolutely must not bury me on the mountain."""
세상을 떠나다,to pass away / to leave the world,세상 (world) + 을 (object particle) + 떠나다 (to leave),Phrase,얼마 뒤 엄마 청개구리는 세상을 떠나고 말았어요.,"A little while later, the mother tree frog passed away."
눈물을 흘리다,to shed tears / to cry,눈물 (tears) + 을 (object particle) + 흘리다 (to shed/flow),Phrase,엄마 청개구리가 죽자 아들 청개구리는 눈물을 펑펑 흘렸어요.,"When the mother tree frog died, the baby tree frog shed copious tears."
말씀을 듣다,to listen to/obey someone's words (honorific),말씀 (honorific word/speech) + 을 (object particle) + 듣다 (to hear/listen),Phrase,"""마지막으로 엄마가 남기신 말씀은 꼭 들어야지.""","""I must definitely listen to the last words Mom left."""
-아/어야지,must do / should do (with determination),Verb stem + -아/어야 (should/must) + -지 (exclamatory/determinate ending),Phrase,"""마지막으로 엄마가 남기신 말씀은 꼭 들어야지.""","""I must definitely listen to the last words Mom left."""
비가 오다,to rain / rain comes,비 (rain) + 가 (subject particle) + 오다 (to come),Phrase,"""비가 와서 엄마 무덤이 떠내려가면 어떡하지? 안 되겠다. 내가 가서 무덤을 지켜야겠어.""","""What if Mom's grave gets washed away by the rain? That won't do. I must go and protect the grave."""
-기 시작하다,to start doing (something),Verb stem + -기 (nominalizer) + 시작하다 (to start),Phrase,엄마를 묻은 후 하루는 비가 많이 내리기 시작했어요.,"A day after burying his mother, it began to rain heavily."
떠내려가다,to be washed away / to float downstream,뜨다 (to float) + 내려가다 (to go down),Phrase,"""비가 와서 엄마 무덤이 떠내려가면 어떡하지? 안 되겠다. 내가 가서 무덤을 지켜야겠어.""","""What if Mom's grave gets washed away by the rain? That won't do. I must go and protect the grave."""
-려고 하다,to be about to do / to intend to do,Verb stem + -(으)려고 (intention/purpose ending) + 하다 (to do),Phrase,시냇가에 가서 보니 엄마 청개구리의 무덤이 정말로 떠내려가려고 했어요.,"When he went to the stream and saw, his mother tree frog's grave was truly about to be washed away."
-다고 하다,to say that ~ / they say that ~ (indirect quotation),Verb stem + -다고 (quotative ending for declarative sentences) + 하다 (to say),Phrase,그래서 지금도 비가 오는 날이면 시냇가에 있는 청개구리가 개굴개굴 하고 크게 우는 거라고 해요.,"That's why even now, on rainy days, they say the tree frogs by the stream croak loudly."
청개구리,tree frog,"청 (靑: blue, green) + 개구리 (Pure Korean)",Noun,청개구리 이야기,The story of the tree frog.
이야기,story,Pure Korean,Noun,청개구리 이야기,The story of the tree frog.
작다,to be small,Pure Korean,Adjective,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a certain small pond, a mother tree frog and a son tree frog were living."
연못,pond,연 (蓮: lotus) + 못 (Pure Korean: pond),Noun,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a certain small pond, a mother tree frog and a son tree frog were living."
엄마,mother,Pure Korean,Noun,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a certain small pond, a mother tree frog and a son tree frog were living."
아들,son,Pure Korean,Noun,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a certain small pond, a mother tree frog and a son tree frog were living."
살다,to live,Pure Korean,Verb,어느 작은 연못에 엄마 청개구리와 아들 청개구리가 살고 있었어요.,"In a certain small pond, a mother tree frog and a son tree frog were living."
말,"words, advice",Pure Korean,Noun,아들 청개구리는 엄마 청개구리의 말을 잘 듣지 않았어요.,The son tree frog did not listen well to his mother tree frog's words.
