Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
흥부,Noun,흥부와 놀부,Heungbu (a character name),Heungbu and Nolbu,Pure Korean
놀부,Noun,흥부와 놀부,Nolbu (a character name),Heungbu and Nolbu,Pure Korean
옛날,Noun,옛날 어느 마을에 흥부와 놀부 형제가 살고 있었어요.,"old days, ancient times","Once upon a time, Heungbu and Nolbu, who were brothers, lived in a certain village.",Pure Korean
마을,Noun,옛날 어느 마을에 흥부와 놀부 형제가 살고 있었어요.,village,"Once upon a time, Heungbu and Nolbu, who were brothers, lived in a certain village.",Pure Korean
형제,Noun,옛날 어느 마을에 흥부와 놀부 형제가 살고 있었어요.,brothers,"Once upon a time, Heungbu and Nolbu, who were brothers, lived in a certain village.",兄 (형: elder brother) + 弟 (제: younger brother)
욕심,Noun,동생 흥부는 착했지만 형 놀부는 욕심이 많았어요.,greed,"Younger brother Heungbu was kind, but elder brother Nolbu was very greedy.","欲 (욕: desire, want) + 心 (심: heart, mind)"
말씀,Noun,아버지는 돌아가시기 전에 이렇게 말씀하셨어요.,"words, speech (honorific)","Before he passed away, their father said this.",Pure Korean
사이좋다,Adjective,"""놀부야 흥부야 사이좋게 지내야 한다.","to be on good terms, to be friendly","""Nolbu, Heungbu, you must live together peacefully.""",Pure Korean
지내다,Verb,"""놀부야 흥부야 사이좋게 지내야 한다.","to live, to spend time, to get along","""Nolbu, Heungbu, you must live together peacefully.""",Pure Korean
재산,Noun,"재산은 꼭 둘이 나눠 가져라.""","property, assets","""Be sure to divide the property between the two of you.""","財 (재: wealth, property) + 産 (산: produce, property)"
꼭,Adverb,"재산은 꼭 둘이 나눠 가져라.""","surely, certainly, definitely","""Be sure to divide the property between the two of you.""",Pure Korean
나누다,Verb,"재산은 꼭 둘이 나눠 가져라.""","to divide, to share","""Be sure to divide the property between the two of you.""",Pure Korean
차지,Noun,하지만 욕심쟁이 놀부는 아버지의 말을 듣지 않고 재산을 모두 차지했어요.,"taking possession, occupying","However, greedy Nolbu did not listen to his father's words and took possession of all the property.",Pure Korean
쫓아내다,Verb,그리고 흥부네 가족들을 집에서 모두 쫓아냈어요.,"to drive out, to expel",And he drove out Heungbu's family from the house.,Pure Korean
밑,Noun,흥부네 가족들은 산 밑에 오두막집을 짓고 살게 되었어요.,"bottom, base, under",Heungbu's family ended up building a hut at the foot of the mountain and living there.,Pure Korean
오두막집,Noun,흥부네 가족들은 산 밑에 오두막집을 짓고 살게 되었어요.,"hut, shack",Heungbu's family ended up building a hut at the foot of the mountain and living there.,Pure Korean
구하다,Verb,흥부는 가족들을 위해 먹을 것을 구하려고 했지만 겨울이라 먹을 것을 구하기가 어려웠어요.,"to seek, to obtain, to get","Heungbu tried to find food for his family, but since it was winter, it was difficult to find food.","求 (구: seek, ask for) + 하다 (to do)"
