Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
혼,Noun,혼길동전,"spirit, soul",The Tale of Hong Gildong.,"魂 (혼: spirit, soul)"
동전,Noun,혼길동전,coin,The Tale of Hong Gildong.,"銅 (동: copper) + 錢 (전: money, coin)"
조선,Noun,조선시대의 홍길동이라는 남자 아이가 살고 있었어요.,Joseon (Dynasty),A boy named Hong Gildong lived during the Joseon Dynasty.,"朝 (조: morning, court) + 鮮 (선: fresh, clear, Korea)"
홍길동,Noun,조선시대의 홍길동이라는 남자 아이가 살고 있었어요.,Hong Gildong (name),A boy named Hong Gildong lived during the Joseon Dynasty.,"洪 (홍: vast, flood - used in names) + 吉 (길: auspicious, lucky - used in names) + 同 (동: same, together - used in names)"
길동,Noun,길동은 특별한 아이였어요.,Gildong (name),Gildong was a special child.,"吉 (길: auspicious, lucky - used in names) + 同 (동: same, together - used in names)"
특별,Noun,길동은 특별한 아이였어요.,special,Gildong was a special child.,"特 (특: special) + 別 (별: differentiate, separate)"
무술,Noun,어려서부터 똑똑하고 무술도 아주 잘했어요.,martial arts,"From a young age, he was intelligent and very good at martial arts.","武 (무: military, martial) + 術 (술: art, skill)"
벼슬,Noun,홍길동의 아버지는 높은 벼슬을 가지고 있는 양반이었어요.,"government position, official rank",Hong Gildong's father was a yangban who held a high government position.,Pure Korean
양반,Noun,홍길동의 아버지는 높은 벼슬을 가지고 있는 양반이었어요.,"yangban (aristocrat, noble class during Joseon Dynasty)",Hong Gildong's father was a yangban who held a high government position.,"兩 (양: two, both) + 班 (반: class, group, side)"
달리,Adverb,하지만 길동은 아버지와 달리 양반이 될 수 없었어요.,"unlike, differently from","However, unlike his father, Gildong could not become a yangban.",Pure Korean
노비,Noun,길동은 아버지의 집에서 일하는 노비가 낳은 아들이었기 때문이에요.,"slave, servant",That's because Gildong was the son born to a slave who worked in his father's house.,"奴 (노: slave, servant) + 婢 (비: female slave, maid)"
