Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
아주 먼 옛날,Phrase,"아주 먼 옛날, 하늘나라 임금님에게 직녀라는 딸이 있었어요.",a very long time ago,"A very long time ago, the King of the Heavens had a daughter named Jiknyeo.",Pure Korean
마음씨,Noun,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,heart / disposition,Jiknyeo was famous for her kind heart and her weaving skills.,Pure Korean
베(를) 짜다,Verb Phrase,직녀는 매일 부지런하게 베를 짰어요.,to weave cloth,Jiknyeo wove diligently every day.,Pure Korean
반짝반짝,Adverb (Ideophone),직녀가 짠 옷감은 반짝반짝 빛이 났어요.,twinkling / brightly,"The fabric Jiknyeo wove shone brightly, twinkling.",Pure Korean
어쩜,Adverb,직녀 공주님은 어쩜 저렇게 착하고 부지런하실까요?,how on earth / how can it be,"How can Princess Jiknyeo be so kind and diligent?",Pure Korean
소를 몰다,Verb Phrase,소를 몰고 있는 한 청년을 만나게 됐어요.,to herd cows,She met a young man herding cows.,Pure Korean
사랑에 빠지다,Verb Phrase,견우와 직녀는 처음 본 순간부터 서로 사랑에 빠졌어요.,to fall in love,"From the moment they first saw each other, Gyeonu and Jiknyeo fell in love.",Pure Korean
혼(을) 내다,Verb Phrase,두 사람이 일을 하지 않는다는 이야기를 들은 임금님은 두 사람을 불러 혼을 냈어요.,to scold,"Hearing that the two were not working, the King called them in and scolded them.",Sino-Korean (혼 魂) + Pure Korean
약속을 지키다,Verb Phrase,하지만 곧 두 사람은 약속을 지키지 않고 다시 놀러 다니기 시작했어요.,to keep a promise,"However, the two soon broke their promise (did not keep it) and started playing around again.",Sino-Korean (약속 約束) + Pure Korean
마음이 약해지다,Verb Phrase,그 모습에 임금님은 마음이 약해졌어요.,to soften one's heart / to weaken in resolve,Seeing them like that the King's heart softened.,Pure Korean (마음) + Sino-Korean (약 弱) + Pure Korean
은하수,Noun,"지금 당장 직녀는 은하수 서쪽으로, 견우는 은하수 동쪽으로 가라!",Milky Way,"Right this instant, Jiknyeo, go to the west of the Milky Way, and Gyeonu, go to the east of the Milky Way!",Sino-Korean (은하수 銀河水)
눈물을 흘리다,Verb Phrase,견우와 직녀는 눈물을 흘리며 말했어요.,to shed tears,"Gyeonu and Jiknyeo said, shedding tears.",Pure Korean
~로 변하다,Grammar Pattern / Verb,"견우와 직녀가 흘린 눈물이 비로 변해 땅으로 떨어졌어요.",to turn into / to change into,The tears shed by Gyeonu and Jiknyeo turned into rain and fell to the earth.,Sino-Korean (변 變) + Pure Korean
펑펑,Adverb (Ideophone),두 사람은 서로의 이름을 부르며 눈물을 펑펑 흘렸어요.,profusely / pouring down,The two called each other's names and cried profusely.,Pure Korean
홍수가 나다,Verb Phrase,비 때문에 홍수가 나서 동물들이 살 집을 잃기도 했어요.,to flood / a flood occurs,"Because of the rain, floods occurred and animals even lost their homes.",Sino-Korean (홍수 洪水) + Pure Korean
몸을 잇다,Verb Phrase,"우리가 몸을 이어서 다리를 만들면, 두 사람이 다리 위에서 만날 수 있을 거야.",to connect bodies,"If we connect our bodies to make a bridge, the two can meet on the bridge.",Pure Korean
~기로 유명하다,Grammar Pattern,견우는 하늘나라에서 부지런하기로 유명한 농부였어요.,famous for doing / being X,Gyeonu was a farmer famous in the heavens for his diligence.,Sino-Korean (유명 有名) + Pure Korean
~기만 하다,Grammar Pattern,견우와 직녀는 결혼한 뒤에 매일 놀러 다니기만 했어요.,to do nothing but X / to only do X,After getting married Gyeonu and Jiknyeo did nothing but play and hang out every day.,Pure Korean
조심스럽게,Adverb,견우와 직녀는 까마귀와 까치가 만든 다리 위를 조심스럽게 걸어갔어요.,carefully / cautiously,Gyeonu and Jiknyeo carefully walked across the bridge made by the crows and magpies.,Sino-Korean (조심 操心) + Pure Korean
서로를 안다,Verb Phrase,두 사람은 서로를 안으며 기뻐했어요.,to embrace each other,The two embraced each other in joy.,Pure Korean
