Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
소,Noun,소가 된 게으름뱅이,"ox, cow",The lazy person who became an ox.,Pure Korean
게으름뱅이,Noun,소가 된 게으름뱅이,"lazy person, idler",The lazy person who became an ox.,Pure Korean
옛날,Noun,옛날 어느 마을에 일하기 싫어하는 게으름뱅이가 살고 있었어요.,"old days, long ago","A long time ago, in a certain village, there lived a lazy person who hated to work.",Pure Korean
마을,Noun,옛날 어느 마을에 일하기 싫어하는 게으름뱅이가 살고 있었어요.,village,"A long time ago, in a certain village, there lived a lazy person who hated to work.",Pure Korean
싫어하다,Verb,옛날 어느 마을에 일하기 싫어하는 게으름뱅이가 살고 있었어요.,"to dislike, to hate","A long time ago, in a certain village, there lived a lazy person who hated to work.",Pure Korean
부인,Noun,게으름뱅이의 부인은 하루 종일 잠만 자는 남편이 한심했어요.,wife,The lazy person's wife felt pathetic about her husband who only slept all day.,"婦 (부: woman, wife) + 人 (인: person)"
종일,Noun,게으름뱅이의 부인은 하루 종일 잠만 자는 남편이 한심했어요.,all day long,The lazy person's wife felt pathetic about her husband who only slept all day.,"終 (종: end, finish) + 日 (일: day)"
남편,Noun,게으름뱅이의 부인은 하루 종일 잠만 자는 남편이 한심했어요.,husband,The lazy person's wife felt pathetic about her husband who only slept all day.,"男 (남: male, man) + 便 (편: convenience, side)"
평소,Noun,어느 날 게으름뱅이가 평소처럼 밥을 먹고 낮잠을 자고 있었어요.,"usual, ordinary times","One day, the lazy person was eating a meal and taking a nap as usual.","平 (평: flat, even) + 素 (소: plain, original)"
낮잠,Noun,어느 날 게으름뱅이가 평소처럼 밥을 먹고 낮잠을 자고 있었어요.,"nap, daytime sleep","One day, the lazy person was eating a meal and taking a nap as usual.",Pure Korean
잔소리,Noun,부인의 잔소리가 듣기 싫었던 게으름뱅이는 집을 나갔어요.,"nagging, scolding","The lazy person, who hated listening to his wife's nagging, left the house.",Pure Korean
싫다,Adjective,부인의 잔소리가 듣기 싫었던 게으름뱅이는 집을 나갔어요.,"to be disliked, to be hateful","The lazy person, who hated listening to his wife's nagging, left the house.",Pure Korean
그늘,Noun,집을 나간 게으름뱅이는 그늘에서 풀을 뜯어 먹고 있던 소를 보고 말했어요.,shade,The lazy person who left the house saw an ox eating grass in the shade and said.,Pure Korean
풀,Noun,집을 나간 게으름뱅이는 그늘에서 풀을 뜯어 먹고 있던 소를 보고 말했어요.,grass,The lazy person who left the house saw an ox eating grass in the shade and said.,Pure Korean
편하다,Adjective,"""저 소는 일도 안 하고 편하게 있네.","to be comfortable, to be easygoing","""That ox isn't working and is just being comfortable.""","便 (편: convenience, comfort) + 하다 (하: do)"
마침,Adverb,"그때 마침, 게으름뱅이 앞을 지나가던 노인이 게으름뱅이에게 말을 걸었어요.","just then, just in time","Just then, an old man passing in front of the lazy person spoke to him.",Pure Korean
지나가다,Verb,"그때 마침, 게으름뱅이 앞을 지나가던 노인이 게으름뱅이에게 말을 걸었어요.","to pass by, to go past","Just then, an old man passing in front of the lazy person spoke to him.",Pure Korean
노인,Noun,"그때 마침, 게으름뱅이 앞을 지나가던 노인이 게으름뱅이에게 말을 걸었어요.","old person, elderly person","Just then, an old man passing in front of the lazy person spoke to him.",老 (노: old) + 人 (인: person)
걸다,Verb,"그때 마침, 게으름뱅이 앞을 지나가던 노인이 게으름뱅이에게 말을 걸었어요.",to speak to (as in '말을 걸다'),"Just then, an old man passing in front of the lazy person spoke to him.",Pure Korean
탈,Noun,"""소가 되고 싶다면 이 탈을 한 번 써 봐.",mask,"""If you want to become an ox, try wearing this mask once.""",Pure Korean
쓰다,Verb,"""소가 되고 싶다면 이 탈을 한 번 써 봐.","to wear (a hat, mask)","""If you want to become an ox, try wearing this mask once.""",Pure Korean
얼른,Adverb,게으름뱅이는 얼른 탈을 써봤어요.,"quickly, promptly",The lazy person quickly tried on the mask.,Pure Korean
펑,Adverb,펑 하는 소리가 나더니 게으름뱅이가 정말 소로 변했어요.,bang (sound effect),"With a ""bang"" sound, the lazy person really turned into an ox.",Pure Korean
변하다,Verb,펑 하는 소리가 나더니 게으름뱅이가 정말 소로 변했어요.,"to change, to transform","With a ""bang"" sound, the lazy person really turned into an ox.","變 (변: change, alter) + 하다 (하: do)"
와,Adverb,"""와, 내가 정말 소가 됐네!""",Wow! (exclamation),"""Wow, I really became an ox!""",Pure Korean
신나다,Verb,게으름뱅이는 이제부터 먹고 자기만 할 생각에 신났어요.,"to be excited, to be thrilled",The lazy person was excited at the thought of only eating and sleeping from then on.,Pure Korean
때,Noun,그런데 그때 탈을 건네준 노인이 소가 된 게으름뱅이를 끌고 가기 시작했어요.,time,"But then, the old man who handed over the mask began to lead away the lazy person who had become an ox.",Pure Korean
건네주다,Verb,그런데 그때 탈을 건네준 노인이 소가 된 게으름뱅이를 끌고 가기 시작했어요.,"to hand over, to pass over","But then, the old man who handed over the mask began to lead away the lazy person who had become an ox.",Pure Korean
끌다,Verb,그런데 그때 탈을 건네준 노인이 소가 된 게으름뱅이를 끌고 가기 시작했어요.,"to pull, to drag, to lead","But then, the old man who handed over the mask began to lead away the lazy person who had become an ox.",Pure Korean
시작,Noun,그런데 그때 탈을 건네준 노인이 소가 된 게으름뱅이를 끌고 가기 시작했어요.,"start, beginning","But then, the old man who handed over the mask began to lead away the lazy person who had become an ox.","始 (시: begin, start) + 作 (작: make, do)"
이리,Adverb,"""이리 와, 이놈의 소야.",here / this way,"""Come here, you cow!""",Pure Korean
잠시,Adverb,"잠시만요!""",a moment / for a moment,"""Just a moment!""","暫 (잠: temporary, for a moment) + 時 (시: time, hour)"
소리치다,Verb,소가 된 게으름뱅이가 소리쳤어요.,to shout / to yell,The lazybones who turned into a cow shouted.,Pure Korean
음매,Adverb,하지만 소의 입에서 나오는 소리는 음매 하는 소 울음소리뿐이었어요.,moo (sound of a cow),"But the only sound coming from the cow's mouth was a moo, the sound of a cow's cry.",Pure Korean
울음,Noun,하지만 소의 입에서 나오는 소리는 음매 하는 소 울음소리뿐이었어요.,cry / weeping,"But the only sound coming from the cow's mouth was a moo, the sound of a cow's cry.",Pure Korean
시장,Noun,시장에 도착한 노인은 소를 한 농부에게 팔았어요.,market,The old man who arrived at the market sold the cow to a farmer.,"市 (시: market, city) + 場 (장: place, ground)"
도착,Noun,시장에 도착한 노인은 소를 한 농부에게 팔았어요.,arrival,The old man who arrived at the market sold the cow to a farmer.,"到 (도: arrive, reach) + 着 (착: wear, arrive, attach)"
농부,Noun,시장에 도착한 노인은 소를 한 농부에게 팔았어요.,farmer,The old man who arrived at the market sold the cow to a farmer.,"農 (농: agriculture, farming) + 夫 (부: man, husband)"
팔다,Verb,시장에 도착한 노인은 소를 한 농부에게 팔았어요.,to sell,The old man who arrived at the market sold the cow to a farmer.,Pure Korean
넘기다,Verb,노인은 소를 농부에게 넘기며 말했어요.,to hand over / to pass over,The old man handed the cow over to the farmer and said.,Pure Korean
절대,Adverb,"""절대 이 소에게 무를 먹이지 마세요.",never / absolutely,"""Never feed this cow a radish.""","絶 (절: cut off, absolute) + 對 (대: oppose, against, absolute)"
무,Noun,"""절대 이 소에게 무를 먹이지 마세요.",radish,"""Never feed this cow a radish.""",Pure Korean
먹이다,Verb,"""절대 이 소에게 무를 먹이지 마세요.",to feed,"""Never feed this cow a radish.""",Pure Korean
참,Adverb,"""그거 참 이상한 소네요.""",truly / really,"""That's a truly strange cow.""",Pure Korean
여전히,Adverb,소가 된 게으름뱅이의 입에서는 여전히 음매 하는 소 울음소리만 나왔어요.,still / as ever,"From the mouth of the lazybones who had become a cow, only the moo of a cow's cry still came out.","如 (여: like, as) + 前 (전: before, front) + -히 (Pure Korean suffix forming adverb)"
울음소리,Noun,소가 된 게으름뱅이의 입에서는 여전히 음매 하는 소 울음소리만 나왔어요.,crying sound / weeping sound,"From the mouth of the lazybones who had become a cow, only the moo of a cow's cry still came out.",Pure Korean
움직이다,Verb,"더 빨리 움직이지 못해?""",to move,"""Can't you move faster?""",Pure Korean
그날,Noun,그날 이후 소가 된 게으름뱅이는 농부의 밭에서 하루 종일 일을 했어요.,that day,"After that day, the lazybones who had become a cow worked all day in the farmer's field.",Pure Korean
밭,Noun,그날 이후 소가 된 게으름뱅이는 농부의 밭에서 하루 종일 일을 했어요.,field,"After that day, the lazybones who had become a cow worked all day in the farmer's field.",Pure Korean
게으름,Noun,"""내가 게으름을 피우고 살아서 벌을 받은 거야.",laziness,"""I was punished because I lived a life of laziness.""",Pure Korean
피우다,Verb,"""내가 게으름을 피우고 살아서 벌을 받은 거야.",to indulge in / to cause,"""I was punished because I lived a life of laziness.""",Pure Korean
벌,Noun,"""내가 게으름을 피우고 살아서 벌을 받은 거야.",punishment,"""I was punished because I lived a life of laziness.""",Pure Korean
미안,Noun,"아이고, 여보 미안해.""",apology / regret,"""Oh dear, honey, I'm sorry.""","未 (미: not yet) + 安 (안: peaceful, calm)"
놀다,Verb,게으름뱅이는 일하지 않고 놀기만 했던 지난날을 후회하고 반성했어요.,to play / to not work,The lazybones regretted and reflected on his past days when he only played and didn't work.,Pure Korean
지난날,Noun,게으름뱅이는 일하지 않고 놀기만 했던 지난날을 후회하고 반성했어요.,past days / bygone days,The lazybones regretted and reflected on his past days when he only played and didn't work.,Pure Korean
후회,Noun,게으름뱅이는 일하지 않고 놀기만 했던 지난날을 후회하고 반성했어요.,regret,The lazybones regretted and reflected on his past days when he only played and didn't work.,"後 (후: after, behind) + 悔 (회: regret, repent)"
반성,Noun,게으름뱅이는 일하지 않고 놀기만 했던 지난날을 후회하고 반성했어요.,reflection / self-reflection,The lazybones regretted and reflected on his past days when he only played and didn't work.,"反 (반: reverse, re-, anti-) + 省 (성: reflect, examine)"
