Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
소원을 들어주다,Phrase,하느님이 제 소원을 들어주셨어요.,to grant a wish,"God granted my wish.","소원 (wish) + 들어주다 (to give/listen to)"
다스리다,Grammar/Verb,왕은 나라를 평화롭게 다스렸어요.,to rule/govern,"The king ruled the country peacefully.","Pure Korean verb"
지내다,Grammar/Verb,방학 동안 할머니 댁에서 지냈어요.,to spend time/live,"I spent the vacation at my grandmother's house.","Pure Korean verb"
화를 내다,Phrase,동생이 잘못을 해서 엄마가 화를 내셨어요.,to get angry,"Mom got angry because my younger sibling made a mistake.","화 (anger) + 내다 (to bring out/emit)"
참고 견디다,Phrase,힘든 훈련을 참고 견디면 좋은 결과가 있을 거예요.,to endure and persevere,"If you endure and persevere through hard training, there will be good results.","참다 (to suppress/hold back) + 견디다 (to bear)"
-라는,Grammar (Noun Modifier),웅녀라는 여자를 들어본 적 있나요?,called / named (as),"Have you ever heard of a woman named Ungnyeo?","-라고 하는 (shortened form)"
-보다 (더),Grammar (Comparison),어제보다 오늘이 더 추워요.,more... than,"Today is colder than yesterday.","-보다 (comparative particle)"
-기로 하다,Grammar (Connector),친구와 내일 영화를 보기로 했어요.,to decide to,"I decided to watch a movie with a friend tomorrow.","-기 (nominalizer) + -로 (direction/choice) + 하다"
-던,Grammar (Retrospective),여기가 제가 자주 가던 식당이에요.,(used to) that... / past repetitive,"This is the restaurant I used to go to often.","-더 (past experience) + -ㄴ (modifier)"
-ㄴ 지 [시간] 되다,Grammar (Time span),한국에 온 지 1년이 되었어요.,it has been [time] since...,"It has been one year since I came to Korea.","-ㄴ (past) + 지 (since/point in time)"
-(으)면서,Grammar (Simultaneous),음악을 들으면서 공부를 해요.,while doing...,"I study while listening to music.","-면서 (simultaneous action)"
-(으)려면,Grammar (Intention),한국말을 잘하려면 매일 연습해야 해요.,if you want to / in order to,"If you want to speak Korean well, you must practice every day.","-(으)려고 (intention) + -면 (if)"
-(으)ㄹ 날,Grammar (Future Modifier),그를 다시 만날 날을 기다려요.,the day that [future action] will happen,"I wait for the day I will meet him again.","-(으)ㄹ (future) + 날 (day)"
-(으)려던 참이다,Grammar (Intention),마침 전화를 하려던 참이었어요.,was just about to,"I was just about to call you.","-(으)려 (intention) + -던 (retrospective) + 참 (moment)"
