Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
견우,Noun,견우와 직녀,Gyeon-u (the Cowherd),Gyeon-u and Jik-nyeo.,"牽 (견: pull, lead) + 牛 (우: cow, ox)"
직녀,Noun,견우와 직녀,Jik-nyeo (the Weaver Girl),Gyeon-u and Jik-nyeo.,"織 (직: weave) + 女 (녀: woman, girl)"
옛날,Noun,"아주 먼 옛날, 하늘나라 임금님에게 직녀라는 딸이 있었어요.","old days, ancient times","A very long time ago, the King of the Heavenly Realm had a daughter named Jik-nyeo.",Pure Korean
임금,Noun,"아주 먼 옛날, 하늘나라 임금님에게 직녀라는 딸이 있었어요.","king, monarch","A very long time ago, the King of the Heavenly Realm had a daughter named Jik-nyeo.",Pure Korean
마음씨,Noun,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,"disposition, nature (of one's heart)",Jik-nyeo was famous for her kind heart and for weaving well.,Pure Korean
베,Noun,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,"cloth, fabric",Jik-nyeo was famous for her kind heart and for weaving well.,Pure Korean
짜다,Verb,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,to weave,Jik-nyeo was famous for her kind heart and for weaving well.,Pure Korean
걸,Noun,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,"thing, fact (contracted from '것을')",Jik-nyeo was famous for her kind heart and for weaving well.,Pure Korean
유명,Noun,직녀는 마음씨가 착하고 베를 잘 짜는 걸로 유명했어요.,"fame, popularity",Jik-nyeo was famous for her kind heart and for weaving well.,"有 (유: have, exist) + 名 (명: name, reputation)"
옷감,Noun,직녀가 짠 옷감은 반짝반짝 빛이 났어요.,"fabric, cloth",The fabric Jik-nyeo wove shone brightly.,Pure Korean
반짝반짝,Adverb,직녀가 짠 옷감은 반짝반짝 빛이 났어요.,"sparkling, glittering",The fabric Jik-nyeo wove shone brightly.,Pure Korean
빛,Noun,직녀가 짠 옷감은 반짝반짝 빛이 났어요.,"light, sparkle",The fabric Jik-nyeo wove shone brightly.,Pure Korean
나다,Verb,직녀가 짠 옷감은 반짝반짝 빛이 났어요.,"to shine, to emit",The fabric Jik-nyeo wove shone brightly.,Pure Korean
부지런,Noun,직녀는 매일 부지런하게 베를 짰어요.,"diligence, industriousness",Jik-nyeo diligently wove fabric every day.,Pure Korean
공주,Noun,"""직녀 공주님이 짠 옷감 좀 보세요.",princess,"""Look at the fabric Princess Jik-nyeo wove.""","公 (공: duke, public) + 主 (주: master, lord)"
어쩜,Adverb,"""직녀 공주님은 어쩜 저렇게 착하고 부지런하실까요?""",how (expressing admiration or surprise),"""How can Princess Jik-nyeo be so kind and diligent?""",Pure Korean
칭찬,Noun,하늘나라 사람들은 모두 직녀를 칭찬했어요.,"praise, compliment",Everyone in the Heavenly Realm praised Jik-nyeo.,"稱 (칭: call, name, praise) + 讚 (찬: praise, eulogize)"
그러다,Verb,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.","to happen then, to do so","Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.",Pure Korean
잠시,Adverb,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.","for a moment, briefly","Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.","暫 (잠: temporary, for a while) + 時 (시: time, hour)"
궁궐,Noun,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.",palace,"Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.",宮 (궁: palace) + 闕 (궐: palace gate)
소,Noun,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.","ox, cow","Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.",Pure Korean
몰다,Verb,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.","to herd, to drive","Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.",Pure Korean
청년,Noun,"그러던 어느 날, 직녀가 잠시 궁궐 밖으로 나갔다가 소를 몰고 있는 한 청년을 만나게 됐어요.","young man, youth","Then one day, Jik-nyeo briefly went outside the palace and met a young man herding an ox.","靑 (청: young, blue) + 年 (년: year)"
하늘나라,Noun,견우는 하늘나라에서 부지런하기로 유명한 농부였어요.,"Heavenly Realm, Heaven",Gyeon-u was a farmer famous for his diligence in the Heavenly Realm.,Pure Korean
농부,Noun,견우는 하늘나라에서 부지런하기로 유명한 농부였어요.,farmer,Gyeon-u was a farmer famous for his diligence in the Heavenly Realm.,"農 (농: agriculture, farming) + 夫 (부: man)"
순간,Noun,견우와 직녀는 처음 본 순간부터 서로 사랑에 빠졌어요.,"moment, instant",Gyeon-u and Jik-nyeo fell in love with each other from the moment they first met.,"瞬 (순: wink, blink) + 間 (간: interval, between)"
