Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
눈이 오다,to snow / it snows,눈 (snow) + 오다 (to come),Phrase,남극은 아주 춥고 눈이 많이 오는 곳입니다.,Antarctica is a very cold place where it snows a lot.
추위를 느끼다,to feel the cold,추위 (cold weather/chill) + -를 (object particle) + 느끼다 (to feel),Phrase,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.","This is because penguins have a lot of fur and body fat, so they don't feel the cold well."
호기심이 많다,to be very curious / to have a lot of curiosity,호기심 (curiosity) + -이 (subject particle) + 많다 (to be many/a lot),Phrase,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,Pororo was a penguin full of curiosity and playfulness.
알을 낳다,to lay eggs,알 (egg) + -을 (object particle) + 낳다 (to give birth/to lay),Phrase,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.,We move to a special place to lay eggs and raise our young.
새끼를 키우다,to raise young (animals),새끼 (young animal) + -를 (object particle) + 키우다 (to raise/grow),Phrase,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.,We move to a special place to lay eggs and raise our young.
신이 나다,to get excited / to be thrilled,신 (spirit/excitement) + -이 (subject particle) + 나다 (to emerge/come out),Phrase,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,Pororo was so excited because it was his first long journey.
길을 잃다,to lose one's way / to get lost,길 (path/way) + -을 (object particle) + 잃다 (to lose),Phrase,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,"The penguins held each other's shoulders, being careful not to lose their way."
용기를 내다,to muster courage / to be brave,용기 (courage) + -를 (object particle) + 내다 (to put out/produce),Phrase,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.","Pororo was worried, but he could muster courage because he was with his friends."
힘을 합치다,to combine strengths / to cooperate,힘 (strength/power) + -을 (object particle) + 합치다 (to combine/unite),Phrase,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",The penguins combined their strengths to overcome winter and raised their young well.
시간이 흐르다,time passes / time flows,시간 (time) + -이 (subject particle) + 흐르다 (to flow),Phrase,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.","As time passed, the baby penguins grew bigger and bigger."
펭귄,,,Noun,# 펭귄들의 재미있는 행진,
재미있다,,,Adjective,# 펭귄들의 재미있는 행진,
행진,,,Noun,# 펭귄들의 재미있는 행진,
남극,,,Noun,**남극에서 벌어지는 신나는 이야기**,
벌어지다,,,Verb,**남극에서 벌어지는 신나는 이야기**,
신나다,,,Verb,**남극에서 벌어지는 신나는 이야기**,
이야기,,,Noun,**남극에서 벌어지는 신나는 이야기**,
옛날,,,Noun,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",
아주,,,Adverb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",
멀다,,,Adjective,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",
살다,,,Verb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",
눈,,,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,
많이,,,Adverb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,
오다,,,Verb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,
곳,,,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,
날씨,,,Noun,펭귄들은 추운 날씨를 아주 좋아합니다.,
좋아하다,,,Verb,펭귄들은 추운 날씨를 아주 좋아합니다.,
왜냐하면,,,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
털,,,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
많다,,,Adjective,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
몸,,,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
지방,,,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
추위,,,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
잘,,,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
느끼다,,,Verb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
때문,,,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",
함께,,,Adverb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,
모이다,,,Verb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,
서로,,,Noun,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,
마을,,,Noun,펭귄 마을은 항상 활기차고 재미있었습니다.,
항상,always,"恒 (항: constant, regular) + 常 (상: always, regular)",Adverb,펭귄 마을은 항상 활기차고 재미있었습니다.,Penguin Village was always lively and fun.
활기차다,"to be lively, to be vibrant","活 (활: live, active) + 氣 (기: spirit, energy) + 차다 (Pure Korean: to be full)",Adjective,펭귄 마을은 항상 활기차고 재미있었습니다.,Penguin Village was always lively and fun.
아기,baby,Pure Korean,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,Baby penguin Pororo lived in Penguin Village.
뽀로로,Pororo,Pure Korean,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,Baby penguin Pororo lived in Penguin Village.
호기심,curiosity,"好 (호: good, like) + 奇 (기: strange, wonderful) + 心 (심: heart, mind)",Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,Pororo was a curious and playful penguin.
장난,"mischief, play",Pure Korean,Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,Pororo was a curious and playful penguin.
넘치다,"to overflow, to be full of",Pure Korean,Verb,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,Pororo was a curious and playful penguin.
매일,"every day, daily",毎 (매: every) + 日 (일: day),Adverb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,Pororo wanted to learn new things every single day.
것,thing,Pure Korean,Noun,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,Pororo wanted to learn new things every single day.
배우다,to learn,Pure Korean,Verb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,Pororo wanted to learn new things every single day.
날,day,Pure Korean,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.","One day, Pororo asked his mommy penguin."
엄마,"mom, mommy",Pure Korean,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.","One day, Pororo asked his mommy penguin."
왜,why,Pure Korean,Adverb,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?","'Mommy, why do we always live in the same place?'"
같다,"to be the same, to be alike",Pure Korean,Adjective,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?","'Mommy, why do we always live in the same place?'"
있다,"to be, to exist",Pure Korean,Adjective,다른 곳에는 뭐가 있을까요?','What else could there be in other places?'
대답,"answer, reply","對 (대: respond, opposite) + 答 (답: answer, reply)",Noun,엄마 펭귄은 웃으면서 대답했습니다.,Mommy penguin smiled and answered.
