Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
열심히,Phrase/Adverb,시험을 위해 열심히 공부했어요.,diligently / with all one's might,"I studied hard for the exam.","열심 (熱心 - passionate heart) + 히 (adverb suffix)"
춤을 추다,Phrase/Verb,아이들이 무대에서 춤을 추고 있어요.,to dance a dance / to dance,"The children are dancing on the stage.","춤 (noun form of dance) + 추다 (cognate verb to dance)"
각자,Phrase/Noun,회의가 끝난 후 각자의 자리로 돌아갔다.,each person / respectively,"After the meeting ended, everyone returned to their respective seats.","각 (各 - each) + 자 (自 - self)"
돌아가다,Phrase/Verb,일이 끝나면 집으로 돌아갈 거예요.,to return / to go back,"When work is done, I will go back home.","돌다 (to turn/veer) + 가다 (to go)"
울음,Grammar/Noun,아기의 울음이 그치지 않았다.,crying / weeping,"The baby's crying did not stop.","울다 (to cry) + -음 (nominalizing suffix)"
-을 수(가) 없다,Grammar/Pattern,너무 아파서 걸을 수가 없었어요.,cannot do [X] (inability/impossibility),"It hurt so much that I couldn't walk.","-을/ㄹ 수 없다 (potential grammar) + -가 (subject particle for emphasis)"
조그만,Grammar/Adjective,길가에 조그만 꽃이 피어 있었다.,small / tiny / little,"A tiny flower was blooming by the roadside.","조그맣다 (to be small, ㅎ-irregular) + -ㄴ (noun-modifying suffix)"
태어나다,Phrase/Verb,저는 서울에서 태어났어요.,to be born,"I was born in Seoul.","태 (胎 - prenatal/birth) + 어나다 (to emerge/come forth)"
가장,Phrase/Adverb,이 영화가 올해 가장 재미있어요.,most / best (superlative),"This movie is the most interesting one this year.","Pure Korean adverb"
-어/아서,Grammar/Pattern,한국에 와서 친구를 많이 만났어요.,time sequence (since doing [X] / and then),"Since coming to Korea, I have met many friends.","-어/아 (clausal connector) + 서 (sequential marker)"
-야 / -이야,Grammar/Pattern,여기가 내 고향이야.,casual present tense copula (to be),"This place is my hometown.","이다 (to be) conjugated in informal casual style (반말)"
비록,Phrase/Adverb,비록 몸은 힘들지만 마음은 행복해요.,even though / although,"Even though my body is tired, my heart is happy.","Pure Korean adverb (often framed with -지만)"
한동안,Phrase/Noun,그 친구와 한동안 연락이 끊겼었다.,for a while / for some time,"I lost touch with that friend for a while.","한 (one/complete) + 동안 (duration/period)"
아무... -도,Grammar/Pattern,교실에 아무도 없었어요.,any... at all (used with negative verbs),"There was no one in the classroom.","아무 (any) + Noun + -도 (even/also)"
쳐다보다,Phrase/Verb,그 사람은 나를 똑바로 쳐다봤다.,to look at / stare at / gaze at,"That person stared straight at me.","쳐 (intensive prefix) + 다보다 (to look down/at)"
함께,Phrase/Adverb,우리 함께 저녁 먹을까요?,together,"Shall we eat dinner together?","Pure Korean adverb (refined/literary alternative to 같이)"
보내다,Phrase/Verb,이번 주말을 어떻게 보낼 거예요?,to spend time / to send,"How are you going to spend this weekend?","Pure Korean verb"
사실,Phrase/Noun,그 소문은 결국 사실로 밝혀졌다.,fact / reality / truth,"That rumor turned out to be a fact in the end.","사 (事 - affair/matter) + 실 (實 - reality/truth)"
-다는 사실,Grammar/Pattern,그가 성공했다는 사실이 믿기지 않는다.,the fact that [X],"The fact that he succeeded is unbelievable.","-다고 하는 (indirect quotation modifier) contracted to -다는 + 사실 (fact)"
-(으)로,Grammar/Particle,그 소식으로 많은 사람이 위로를 받았다.,because of / by means of (cause/reason),"Many people received comfort because of that news.","Directional/instrumental particle serving a causal role"
몇몇,Phrase/Noun,몇몇 직원은 야근을 해야 했다.,a few / some / several,"A few employees had to work overtime.","Reduplication of 몇 (how many/some)"
불평하다,Phrase/Verb,그는 날씨에 대해 불평하기 시작했다.,to complain / grumble / express dissatisfaction,"He started to complain about the weather.","불 (不 - not) + 평 (平 - level/even) + 하다 (to do)"
-(으)ㄹ 수도 있다,Grammar/Pattern,내일은 비가 올 수도 있어요.,might / could possibly,"It might rain tomorrow.","-(으)ㄹ 수 있다 (can) + -도 (also/even) implying an added possibility"
진심으로,Phrase/Adverb,진심으로 축하드립니다.,sincerely / from the bottom of my heart,"I congratulate you sincerely.","진심 (眞心 - true heart) + 으로 (with/by means of)"
전하다,Phrase/Verb,그에게 제 고마운 마음을 전해 주세요.,to convey / deliver / pass on,"Please convey my gratitude to him.","전 (傳 - to transmit/pass on) + 하다 (to do)"
잔치,Phrase/Noun,할아버지의 칠순 잔치에 다녀왔어요.,feast / banquet / party,"I attended my grandfather's 70th birthday feast.","Pure Korean noun carrying a traditional, warm connotation"
