Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
파티,Noun,내 첫 생일 파티,party,My first birthday party,Pure Korean
특별히,Adverb,특별히 엄마가 나를 위해 생일 음식을 만들어준다고 했다.,especially,Mom said she would especially make birthday food for me.,"特 (특: special) + 別 (별: separate, distinct)"
친하다,Adjective,우리 반에는 나와 친한 친구 여섯 명이 있다.,"to be close, to be friendly",There are six friends in my class who are close with me.,"親 (친: close, intimate)"
케이크,Noun,‘집에 가면 맛있는 케이크와 음식이 있겠지?’,cake,"'When I go home, there will be delicious cake and food, right?'",Pure Korean
도착,Noun,. 기쁜 마음으로 집에 도착했다.,arrival,I arrived home with a happy heart.,"到 (도: arrive, reach) + 着 (착: attach, wear)"
숫자,Noun,그리고 숫자 3 을 셌다.,number,And I counted the number 3.,"數 (수: number, count) + 字 (자: character, letter)"
을,Noun,그리고 숫자 3 을 셌다.,object particle,And I counted the number 3.,Pure Korean
세다,Verb,그리고 숫자 3 을 셌다.,to count,And I counted the number 3.,Pure Korean
활짝,Adverb,나는 문을 활짝 열었다.,"wide open, completely open",I opened the door wide.,Pure Korean
상,Noun,아주 큰 상에 케이크와 과자와 피자도 있었다.,table,"On a very large table, there was cake, snacks, and pizza too.",Pure Korean
과자,Noun,아주 큰 상에 케이크와 과자와 피자도 있었다.,"snack, cookie","On a very large table, there was cake, snacks, and pizza too.","菓 (과: fruit, candy) + 子 (자: child, small object)"
피자,Noun,아주 큰 상에 케이크와 과자와 피자도 있었다.,pizza,"On a very large table, there was cake, snacks, and pizza too.",Pure Korean
때,Noun,나는 그때 그 음식을 다 먹어보고 싶었지만 친구들이 올 때까지 기다렸다.,"time, moment","At that time, I wanted to try all that food, but I waited until my friends came.",Pure Korean
준비,Noun,"나: “엄마! 믿을 수 없어! 이렇게 음식을 많이 준비했어?”
엄마: “당연하지, 오늘은 내 딸의 첫 번째 생일 파티잖아! 마음에 드니?”
나: “엄마, 나 너무 행복해! 빨리 내 친구들이 와서 파티를 하고 싶어! 내가 뭐 도와줄까?”
엄마: “이미 다 했어, 얼른 손 씻고 생일 파티 할 준비해.”
나: “알았어! 엄마 사랑해!”",preparation,"Mom: 'I've already done everything, quickly wash your hands and get ready for the birthday party.'","準 (준: standard, criterion) + 備 (비: prepare, equip)"
얼른,Adverb,"나: “엄마! 믿을 수 없어! 이렇게 음식을 많이 준비했어?”
엄마: “당연하지, 오늘은 내 딸의 첫 번째 생일 파티잖아! 마음에 드니?”
나: “엄마, 나 너무 행복해! 빨리 내 친구들이 와서 파티를 하고 싶어! 내가 뭐 도와줄까?”
엄마: “이미 다 했어, 얼른 손 씻고 생일 파티 할 준비해.”
나: “알았어! 엄마 사랑해!”","quickly, promptly","Mom: 'I've already done everything, quickly wash your hands and get ready for the birthday party.'",Pure Korean
축하,Noun,"친구들과 생일축하 노래를
부르고 나서 음식을 먹으면서 음악을 같이 듣고 싶었기 때문이었다.","celebration, congratulation",It was because I wanted to sing the birthday celebration song with my friends and then eat food while listening to music together.,"祝 (축: celebrate, congratulate) + 賀 (하: congratulate)"
때문,Noun,"친구들과 생일축하 노래를
부르고 나서 음식을 먹으면서 음악을 같이 듣고 싶었기 때문이었다.","reason, cause",It was because I wanted to sing the birthday celebration song with my friends and then eat food while listening to music together.,Pure Korean
느끼다,Verb,일분이 10 분처럼 느껴졌다.,to feel,One minute felt like 10 minutes.,Pure Korean
벨,Noun,20 분 후에 누군가 벨을 눌렀다,bell,"20 minutes later, someone rang the bell.",Pure Korean
지윤,Noun,"나: “누구니?”
지윤: “나야!",Jiyoon (a name),Jiyoon: 'It's me!',Pure Korean
언제,Adverb,"나: “지윤아! 내 생일 파티에 와줘서 고마워! 그런데 다른 친구들은 언제와?”
지윤: “지금 다 같이 오고 있어! 나 선물 사왔어! 빨리 주고 싶지만 친구들과 함께 줄게!”",when,Me: 'Jiyoon! Thank you for coming to my birthday party! But when are the other friends coming?',Pure Korean
솔직히,Adverb,솔직히 한 명도 안 오면 어떡하지 하고 걱정했기 때문이다.,"honestly, frankly","Honestly, it was because I worried about what to do if no one came.","實 (실: real, true) + 直 (직: straight, honest)"
어떡하다,Verb,솔직히 한 명도 안 오면 어떡하지 하고 걱정했기 때문이다.,"what to do, to do what","Honestly, it was because I worried about what to do if no one came.",Pure Korean
슬기,Noun,"나: “애들아! 내 생일 파티에 와줘서 너무 고마워! 맛있는 음식 많이 먹어!”
지윤: “우리 생일 축하 노래 불러주자! 하나, 둘, 셋! 생일 축하합니다~ 생일 축하합니다! 사랑하는 슬기의 생일 축하합니다”",Seulgi (a name),"Jiyoon: 'Let's sing the birthday song! One, two, three! Happy birthday~ Happy birthday! Happy birthday to our beloved Seulgi!'",Pure Korean
초,Noun,나는 기쁜 마음으로 초를 껐다!,candle,I blew out the candles with a happy heart!,燭 (촉: candle)
소원,Noun,그리고 소원을 빌었다!,wish,And I made a wish!,"所 (소: place, that which) + 願 (원: wish, desire)"
빌다,Verb,그리고 소원을 빌었다!,"to make (a wish), to pray",And I made a wish!,Pure Korean
인형,Noun,"연필, 공책, 인형부터 다양한 선물을 받았다.",doll,"I received various gifts, from pencils, notebooks, to dolls.","人 (인: person, human) + 形 (형: shape, form)"
다양,Noun,"연필, 공책, 인형부터 다양한 선물을 받았다.","variety, diversity","I received various gifts, from pencils, notebooks, to dolls.","多 (다: many, much) + 樣 (양: shape, kind, manner)"
분홍색,Noun,특히 내가 가장 좋아한 선물은 바로 분홍색 인형이었다.,pink (color),"In particular, the gift I liked the most was a pink doll.",粉 (분: powder) + 紅 (홍: red) + 色 (색: color)
교환,Noun,"우리는 생일 축하 노래를 부르고, 선물을 교환하고 맛있는 음식을 먹었다.",exchange,"We sang birthday songs, exchanged presents, and ate delicious food.","交 (교: cross, exchange) + 換 (환: change, exchange)"
잡채,Noun,지윤이는 특히 엄마가 만드신 잡채를 제일 좋아했다.,japchae (a Korean dish of glass noodles and vegetables),Jiyoon especially liked the japchae that Mom made the most.,"雜 (잡: mixed, various) + 菜 (채: vegetable)"
제일,Adverb,지윤이는 특히 엄마가 만드신 잡채를 제일 좋아했다.,most,Jiyoon especially liked the japchae that Mom made the most.,"第 (제: order, sequence) + 一 (일: one, first)"
참,Adverb,지윤이와 나는 참 공통점이 많다.,"really, truly",Jiyoon and I really have a lot in common.,Pure Korean
공통점,Noun,지윤이와 나는 참 공통점이 많다.,"commonality, common point",Jiyoon and I really have a lot in common.,"共 (공: common, together) + 通 (통: communicate, pass through) + 點 (점: point, dot)"
신,Noun,나는 친구들과 음식을 다 먹고 신나게 음악에 춤을 췄다.,"excitement, joy","After finishing the food with my friends, I danced excitedly to the music.",Pure Korean
추다,Verb,나는 친구들과 음식을 다 먹고 신나게 음악에 춤을 췄다.,dance,"After finishing the food with my friends, I danced excitedly to the music.",Pure Korean
시작,Noun,처음에는 부끄러웠지만 내가 춤을 추기 시작하한 후에 애들도 춤을 신나게 췄다.,"start, beginning","At first I was shy, but after I started dancing, the kids also danced excitedly.","始 (시: begin, start) + 作 (작: make, create)"
각자,Noun,열심히 춤을 추고 친구들은 각자의 집으로 돌아갔다.,"each (person), individually","After dancing hard, the friends returned to their respective homes.","各 (각: each, every) + 自 (자: self)"
갑자기,Adverb,친구들이 돌아가고 엄마는 갑자기 나에게 노래를 불러줬다.,suddenly,"After my friends left, Mom suddenly sang a song for me.",Pure Korean
울음,Noun,나는 울음을 멈출 수가 없었다.,"crying, weeping",I couldn't stop crying.,Pure Korean
멈추다,Verb,나는 울음을 멈출 수가 없었다.,stop,I couldn't stop crying.,Pure Korean
그냥,Adverb,나는 10 분 동안 아무 말도 못하고 그냥 울기만 했다.,"just, simply","For 10 minutes, I couldn't say anything and just cried.",Pure Korean
