Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
모임,Noun,경은 씨랑 제가 처음 모임에서 만났잖아요.,"meetup, gathering",Kyeong-eun and I first met at a meetup.,Native Korean
지인,Noun,새로운 지인은?,acquaintance,What about new acquaintances?,Sino-Korean 知人: 知 know + 人 person
정도,Noun,13년 정도 됐죠?,"about, roughly (a degree/extent)",It's been about 13 years.,Sino-Korean 程度: 程 measure + 度 degree
예전,Noun,예전보다 기대치가 낮아져 있는 상태죠?,former times / the past,Your expectations are lower than they used to be.,Native Korean
기대치,Noun,예전보다 기대치가 낮아져 있는 상태죠?,expectation level,Your expectations are lower than they used to be.,Sino-Korean 期待値: 期待 expectation + 値 value
제발,Adverb,그중에 제발 딱 한 명만 있었으면 좋겠어요.,please (pleading),I just hope there's at least one person among them.,Native Korean
딱,Adverb,딱 한 명만 저랑 대화가 잘 통하는 사람이 있었으면 좋겠어요.,"exactly, just",I hope there's exactly one person I really click with.,Native Korean
참석하다,Verb,아무 이유 없이 참석하는 사람으로 가 보고 싶은 마음도 있어요.,to attend,I want to try going as someone who just attends without any particular reason.,Sino-Korean 參席: 參 participate + 席 seat
참가하다,Verb,대회에 참가했어요.,to participate,I participated in the competition.,Sino-Korean 參加: 參 participate + 加 add
원래,Adverb,원래 알던 사람을 통해서 한 명씩 더 알게 됐어요.,originally,Through people I originally knew I got to know one more person each time.,Native Korean
정신,Noun,아이 키우느라 정신이 없어요.,"mind, spirit",I'm overwhelmed from raising my kid.,Sino-Korean 精神: 精 essence + 神 spirit
귀찮다,Adjective,설명하기가 귀찮아요.,to be bothersome/a hassle,Explaining it is such a hassle.,Native Korean
굳이,Adverb,굳이 노력을 해서 새로운 친구들을 사귀어야 되나?,going out of one's way to,Do I really need to go to all that trouble to make new friends?,Native Korean
시선,Noun,남들이 저를 보는 그런 시선들 있잖아요.,"gaze, look",You know how there's the way other people look at me.,Sino-Korean 視線: 視 see + 線 line
남,Noun,남들이 저를 어떻게 생각하는지 잘 몰랐어요.,other people (남들 = plural),I didn't really know what other people thought of me.,Native Korean
