Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
놀러 오다,to come to hang out/visit,놀다 (to play) + -러 (in order to) + 오다 (to come),Phrase,저 많은 영상이 궁금하시다면 TalkToMeInKorean.com 홈페이지로 놀러 오세요!,"If you're curious about our many other videos, come visit the TalkToMeInKorean.com homepage!"
기억이 남다,"to be memorable, to stick in one's memory",기억 (memory) + 이 (subject marker) + 남다 (to remain),Phrase,제 기억에 남는 여행지 한 곳은 사실은 관광지도 아닌 고흥이었어요.,"One place that stays in my memory was actually Goheung, not even a tourist spot."
갔다 오다,to go and come back,가다 (to go) + -았다 (past connective) + 오다 (to come),Phrase,여기저기 갔다 와야 되니까 훨씬 일이 많은 거 같아요.,"Since you also have to go here and there and come back, I think it ends up being a lot more work."
감동을 받다,to be moved (emotionally),"감동 (emotion, being moved) + 을 (object marker) + 받다 (to receive)",Phrase,"별똥별이 떨어지는 모습을 보고 정말 감동을 받았었는데,","Watching the shooting stars fall, I was really moved..."
정말 좀,really quite a bit/a few,"정말 (really) + 좀 (a bit, quantity)",Phrase,정말 배 좀 있고 길거리에 가로등도 없어요.,"There really are quite a few boats, and there aren't even streetlights on the road."
-는 편이다,"to tend to be, lean toward ___","-는 (verb modifier) + 편 (side, tendency) + 이다 (to be)",Grammar pattern,저는 좀 약간 같은 여행지를 가는 걸 별로 안 좋아하는 편인데요.,I'm kind of not really a fan of going to the same travel spot [more than once].
-는 게 좋을 거 같아요,I think it'd be good to ___,-는 것/거 (nominalizer) + 이/가 좋다 (to be good) + -(으)ㄹ 거 같다 (seems like),Grammar pattern,그냥 이 상태로 쭉 가는 게 좋을 거 같아요.,I think it'd be good to just keep going as it is.
-냐고 하면 (-냐면),"if you ask ___, as for ___",-냐고 (indirect question ending) + 하면 (if [you] say),Grammar pattern,"거기를 갔을 때 왜 좋았냐면, 그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서...",As for why it was good when I went there — it's just that there was some kind of family gathering with family and relatives...
무슨 + N,some kind of N (unspecified/vague),무슨 (what kind of) + noun,Grammar pattern,그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서 한 10년 전에 간 거 같아요.,"We just went there with family and relatives for some kind of family gathering, about 10 years ago."
과장 하나도 안 보태고,"no exaggeration at all, seriously",과장 (exaggeration) + 하나도 (not even one) + 안 (not) + 보태다 (to add),Phrase,"하늘에 별이 정말 과장 하나도 안 보태고 한 1,000개 보이는 거예요.","Up in the sky, no exaggeration at all, about 1,000 stars were visible."
하나도 안 + V,not ___ at all,하나 (one) + 도 (even) + 안 (negation) + verb,Grammar pattern,저는 하나도 안 무서워요.,I'm not scared at all.
-기도 하다,"[it] also happens to ___, sometimes ___",verb stem + -기 (nominalizer) + 도 (also) + 하다,Grammar pattern,갈 때마다 뭔가 쪼끔 날씨 운이 안 맞기도 하고,"Every time I go, somehow the weather luck is a bit off, among other things..."
-(으)ㄴ 다음에,after doing ___,past modifier -(으)ㄴ + 다음 (next) + 에 (at),Grammar pattern,차로 한 시간 정도 이동해서 여기를 간 다음에,After traveling about an hour by car and getting here...
-다가,"while doing X, then switching to Y",verb stem + -다가,Grammar pattern,"저 고등학교 때 밤에 공부하다가 새벽에, 막 2시에 나와서","Back in high school, I'd be studying at night, and then around 2am I'd come out..."
N이라고 치다,to count/consider as N,"noun + 이라고 (quotative, 'as') + 치다 (to regard as)",Grammar pattern,그건 실수라고 치고 넘어갑시다.,Let's just call that a mistake and move on.
-(으)ㅂ시다,let's ___ (direct/assertive suggestion),verb stem + -(으)ㅂ시다,Grammar pattern,그건 실수라고 치고 넘어갑시다.,Let's just call that a mistake and move on.
