Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
주제,Noun,오늘 주제 잊지 않았죠?,"topic, subject","You haven't forgotten today's topic, right?",Sino-Korean 主題: 主 main + 題 topic
잊다,Verb,오늘 주제 잊지 않았죠?,to forget,"You haven't forgotten today's topic, right?",Native Korean
노력하다,Verb,오늘 주제는 절대 안 잊어버리려고 노력했습니다.,"to make an effort, try hard",I really tried hard not to forget today's topic.,Sino-Korean 努力: 努 endeavor + 力 strength
본인,Noun,본인이 골랐다는 거를 지금 잊은 거예요?,"oneself, the person in question",Did you just forget that you picked it yourself?,Sino-Korean 本人: 本 origin/self + 人 person
특별히,Adverb,오늘 주제는 특별히 경은 씨가 고른 거잖아요.,"especially, particularly","Today's topic was especially picked by you, Kyeong-eun.",Sino-Korean 特別히: 特 special + 別 distinct + 히 (adverb suffix)
심각하다,Adjective,제가 건망증이 너무 심각해요.,"to be serious, severe",My forgetfulness is really bad.,Sino-Korean 深刻: 深 deep + 刻 carve/engrave
이유,Noun,왜냐면 그 이유를 설명해 주시죠.,reason,Because — explain the reason.,Sino-Korean 理由: 理 reason/logic + 由 cause
병,Noun,'이게 병인가?' 생각한 적도 있었어요.,"illness, disease","I even had a time when I thought, 'Is this an illness?'",Sino-Korean 病 (illness)
주변,Noun,다행히 주변 사람들이 아기 나오면 다 그렇다고 하더라고요.,"surroundings, the people around you","Luckily, the people around me told me everyone's like that once you have a baby.",Sino-Korean 周邊: 周 surrounding + 邊 edge
아기,Noun,다행히 주변 사람들이 아기 나오면 다 그렇다고 하더라고요.,baby,"Luckily, people told me everyone's like that once you have a baby.",Native Korean
또래,Noun,제 주변에 우리 나이 또래에서 경은 씨가 제일 심해요.,"peer, someone of the same age","Among people our age around me, you're the worst, Kyeong-eun.",Native Korean
심하다,Adjective,진짜 심각할 정도로 심해요.,"to be severe, extreme",It's genuinely serious.,Native Korean
풀다,Verb,건망증이라는 말을 좀 더 쉽게 풀어서 말을 하면,to unpack/explain (in simpler terms); to untie,If I put 'forgetfulness' into simpler words...,Native Korean
자꾸,Adverb,자꾸 물건을 어디에 뒀는지 모르고,"constantly, repeatedly",I keep not knowing where I put things,Native Korean
또는,Conjunction,사실 아니면 기억 또는 해야 할 일들을 잊어버리는 거죠.,"or (connects nouns/clauses, more formal than 이나)","Forgetting facts, or memories, or things you're supposed to do.",Native Korean
방금,Adverb,방금 어떤 이야기를 하려고 '있잖아'라고 말을 시작해 놓고 몰라요.,"just now, a moment ago","I start saying 'you know...' meaning to say something a moment ago, and then I don't know what I wanted to say.",Sino-Korean 方今: 方 just + 今 now
치매,Noun,치매인가?,dementia,Is it dementia?,Sino-Korean 癡呆: 癡 foolish + 呆 dull
젊다,Adjective,요즘에 젊은 사람들도 치매에 걸린대요.,to be young,"These days even young people get dementia, apparently.",Native Korean
다행히,Adverb,다행히 기억을 해요.,"luckily, fortunately","Luckily, I do remember.",Sino-Korean 多幸히: 多 much + 幸 fortune + 히 (adverb suffix)
불행하다,Adjective,불행한 건가요? 기억이 나네요.,"to be unfortunate, unhappy",Is that unfortunate? I remember it.,Sino-Korean 不幸: 不 not + 幸 fortune
시키다,Verb,생일을 그럼 10년 동안 세뇌를 시켰는데 어떻게 잊어버리겠어요.,to make/cause (someone) to do; causative verb,"You've brainwashed me about my birthday for 10 years, how could I forget it?",Native Korean
