Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
마음에 들다,"to like, to be pleasing","Native, lit. ""enters the heart""",Verb phrase,성적이 마음에 들게 나왔어요.,My grades came out the way I wanted.
시간을 때우다,to kill time,때우다: to patch/fill (a gap),Verb phrase,심심해서 시간을 때웠어요.,I killed time out of boredom.
정신을 차리다,"to come to one's senses, get one's act together",Native Korean,Verb phrase,군대 갔다 와서 이제 정신을 차리고.,Coming back from the military and finally getting their act together.
딴생각을 하다,"to space out, daydream, think about something else",딴 (other) + 생각 (thought),Verb phrase,수업은 가는데 딴생각을 하거나 그랬고.,"I'd go to class but space out, that kind of thing."
기억이 나다,"to remember, to come to mind",Native Korean,Verb phrase,그 수업이 앞으로도 계속 기억이 날 것 같아요.,I feel like I'll keep remembering that class going forward.
갔다 오다,to go and come back (round trip),"Native Korean, [V]+았/었다 + 오다",Verb phrase,군대 갔다 와서 이제 정신을 차리고.,Coming back from the military and getting their act together.
전문 분야,"specialized field, area of expertise",Sino-Korean 專門 分野,Noun phrase,"아주 전문 분야, 정말로 '간호사가 되어야겠다'라고 생각하고.","For a very specialized field, thinking ""I have to become a nurse."""
뻗어 나가다,"to branch out, extend outward",뻗다 (stretch) + 나가다 (go out),Verb phrase,그 친구들이 경험한 걸로 뻗어 나갈 수도 있겠구나.,It might branch out through what those friends experienced.
~한테/에게 달리다,to depend on ~,Native Korean,Grammar pattern,그래서 개인한테 달린 거 같고.,So it kind of comes down to the individual.
-라고/이라고 생각하다,to think that [quote],N/이다 plain form + (이)라고 + 생각하다,Grammar pattern,이거는 문제라고 생각해요.,I think this is a problem.
-다는/(이)라는 [Noun],the N that [is said/stated to be] X,plain form + 는 + Noun,Grammar pattern,수업 자체가 도움이 안 됐다는 이야기죠?,You mean the classes themselves weren't helpful?
-(으)ㄹ 뿐이다,"merely, only be X",stem + (으)ㄹ 뿐이다,Grammar pattern,인기가 있었던 학과였을 뿐이지.,It was just a department that happened to be popular.
-게,adverbializer: in a ~ way,adjective stem + 게,Grammar pattern,성적이 마음에 들게 나왔어요.,My grades came out the way I wanted.
-(으)려는,modifier: [a person/thing] trying to/intending to ~,stem + (으)려는,Grammar pattern,혼자서 열심히 공부하려는 학생이 나오기는 어려울 수도 있겠네요.,It might be hard for a student who tries to study hard alone to emerge.
-기는 어렵다/힘들다,it's difficult to ~,stem + 기 (nominalizer) + 는 + 어렵다,Grammar pattern,학생이 나오기는 좀 어려울 수도 있겠네요.,It might be pretty hard for such a student to emerge.
