Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
감회가 새롭다,to feel a fresh wave of deep emotion (moved/nostalgic),감회 (deep emotion) + 가 새롭다 (feels new),Phrase,그게 너무 감회가 새롭더라고요.,"That felt so moving/nostalgic, I found."
N이라는,a N called ___ / the N that is called ___,N + 이라고 하다 (quote 'called') + 는 (modifier),Grammar pattern,이거는 아메리카노라는 커피예요.,This is a coffee called Americano.
N 말고,"instead of N, not N",말다 (don't) + 고 (connective),Grammar pattern,커피 말고 차를 마실래요.,I'll have tea instead of coffee.
-는 거죠?,"you're saying/doing X, right? (confirming)",-는 것 (nominalizer) + 이죠 (confirming tag),Grammar pattern,지금 가자는 거죠?,"You're saying we should go now, right?"
-는다고 하다,to say/report that ___ (indirect statement),plain statement + -는다고/ㄴ다고 + 하다,Grammar pattern,친구가 배고프다고 해요.,My friend says she's hungry.
-(으)라고 하다,to tell someone to do ___ (indirect command),command form + -(으)라고 + 하다,Grammar pattern,조용히 하라고 했어요.,I told them to be quiet.
-(으)냐고 하다,to ask whether/what ___ (indirect question),question form + -(으)냐고 + 하다,Grammar pattern,어디 가냐고 했어요.,They asked where I was going.
-자고 하다,to suggest doing ___ (indirect suggestion),-자 (let's) + 고 + 하다,Grammar pattern,같이 가자고 했어요.,They suggested we go together.
-(으)ㄹ걸요,probably ___ (soft guess),-(으)ㄹ 것 (future/probability) + 이에요 contraction,Grammar pattern,지금쯤 도착했을걸요.,They've probably arrived by now.
한번,"sometime, once (casual invitation/suggestion)",한 (one) + 번 (occurrence),Phrase,언제 한번 커피 마셔요.,Let's grab coffee sometime.
-기는 하다,"it is X, but... (concession)",verb/adj stem + 기는 + 하다,Grammar pattern,비싸긴 한데 맛있어요.,"It's expensive, but it's tasty."
N뿐만 아니라,not only N but also...,뿐 (only) + 만 (even) + 아니라 (not being),Grammar pattern,저는 한국어뿐만 아니라 일본어도 공부해요.,I study not only Korean but also Japanese.
-아/어 가지고,because/and so (colloquial),-아/어 (connective) + 가지다 (take/have) + 고,Grammar pattern,배고파 가지고 밥부터 먹었어요.,"I was hungry, so I ate first."
-는지,turns a question into a noun clause (whether/what/where...),-는 (modifier) + 지 (indirect question marker),Grammar pattern,어디 사는지 몰라요.,I don't know where they live.
아무 N(이)나,any N at all,아무 (any) + N + (이)나,Grammar pattern,아무 때나 전화하세요.,Call anytime at all.
-(으)라면,if [I] were told to do X / if X were the case,-(으)라고 하다 (command quote) + 면 (if),Grammar pattern,하나만 고르라면 이거요.,"If I had to pick just one, it'd be this."
-보다는,rather than X,보다 (than) + 는 (contrastive topic),Grammar pattern,저는 커피보다는 차를 더 좋아해요.,I like tea more than coffee.
-는데도,even though (an existing/known fact),-는데 (background) + 도 (even),Grammar pattern,열심히 공부했는데도 시험에 떨어졌어요.,"Even though I studied hard, I failed the exam."
-아/어서도,even having done X,-아/어서 (because/sequential) + 도 (even),Grammar pattern,늦게 자서도 일찍 일어났어요.,"Even though I went to bed late, I woke up early."
-더라고요,I noticed/realized that... (first-hand observation),verb/adj stem + -더라고요,Grammar pattern,생각보다 어렵더라고요.,It turned out to be harder than I thought.
-(으)ㄹ지 모르다,don't know whether/what/how...,verb/adj stem + -(으)ㄹ지 + 모르다,Grammar pattern,내일 날씨가 어떨지 몰라요.,I don't know what tomorrow's weather will be like.
-짜리,worth/amounting to/aged ___,number + 짜리,Grammar pattern,다섯 살짜리 아이,a 5-year-old kid
-구나,"oh, I see that...! (exclamatory realization)",verb/adj stem + -는구나/구나,Grammar pattern,"아, 벌써 겨울이구나!","Oh, it's already winter!"
몇 년 만에,for the first time in years,몇 년 (a few years) + 만에 (for the first time since),Phrase,몇 년 만에 여기 와요.,I'm coming here for the first time in years.
-잖아요,"you know, right? (reminding of a known fact)",verb/adj stem + -잖아요,Grammar pattern,오늘 제 생일이잖아요.,"It's my birthday today, you know."
-다 싶다,to feel/think that...,plain clause + 다 + 싶다,Grammar pattern,좀 이상하다 싶었어요.,I thought it was a bit strange.
-더니,"was doing/being X, and then Y (observed change)",verb/adj stem + -더니,Grammar pattern,아침엔 맑더니 오후에 비가 왔어요.,"It was clear in the morning, and then it rained in the afternoon."
-(으)ㄴ/는 사이에,during the interval that... (often something sneaks in),modifier + 사이 (interval) + 에,Grammar pattern,제가 잠깐 자는 사이에 아이가 없어졌어요.,"While I was napping for a moment, the kid disappeared."
-나 보다,it seems that... (inference from observation),verb stem + -나 보다 (adj: -(으)ㄴ가 보다),Grammar pattern,밖에 비가 오나 봐요.,It seems like it's raining outside.
-았/었던,that had been/used to be X (retrospective past modifier),verb stem + -았/었던 + noun,Grammar pattern,예전에 좋아했던 노래예요.,It's a song I used to like.
-(으)ㄹ 텐데(요),I'd expect/imagine that...,verb/adj stem + -(으)ㄹ 텐데(요),Grammar pattern,비가 올 텐데 우산 가져가세요.,"It'll probably rain, so take an umbrella."
