Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
약간,Adverb,근데 약간 이거는 전체적인 한국의 문제라고 생각해요.,"a little, somewhat, kind of",But I kind of think this is a problem with Korea as a whole.,Sino-Korean 若干
전체적인,Adjective,전체적인 한국의 문제라고 생각해요.,"overall, general, as a whole",I think it's a problem with Korea as a whole.,Sino-Korean 全體的
자체,Noun,수업 자체가 도움이 안 됐다는 이야기죠?,"itself, in itself",You mean the classes themselves weren't helpful?,Sino-Korean 自體
수능,Noun,수능 성적이 제 마음에 들게 나오지 않았어요.,the CSAT / Korean college entrance exam,My Suneung score didn't come out the way I wanted.,Sino-Korean abbreviation of 수학능력시험
성적,Noun,성적이 졸업할 때 정말 A나 A+ 아니면 F였어요.,"grade(s), score","My grades when I graduated were literally A, A+, or F.",Sino-Korean 成績
학과,Noun,너는 어떤 학과를 가는 게 좋을 거 같니?,"(academic) department, major",Which department do you think would be good for you to go into?,Sino-Korean 學科
분위기,Noun,그런 분위기가 이미 만들어져 있으면 좀 어려울 수도 있겠네요.,"atmosphere, mood, vibe","If that kind of atmosphere is already set, it'd be hard.",Sino-Korean 雰圍氣
군대,Noun,남학생들은 군대를 갔다 와서 정신을 차리고.,the military,"The male students would go to the military, come back, and get their act together.",Sino-Korean 軍隊
공무원,Noun,다들 공무원 시험을 준비하는 친구들이 많았던 케이스였어요.,"civil servant, government employee",A lot of them were the type preparing for civil service exams.,Sino-Korean 公務員
경우,Noun,남학생들 같은 경우는 군대를 갔다 와서.,"case, situation","As for the male students, they'd go to the military.",Sino-Korean 境遇
케이스,Noun,다들 공무원 시험을 준비하는 그런 케이스였어요.,case (loanword),That was a common case.,"English loanword ""case"""
그중에,Adverb,그중에 네 개 정도 수업은 정말 좋은 수업들이 있었는데.,"among those, out of those","Among those, there were about four classes that were really good.",Native + Sino 中
앞으로도,Adverb,앞으로도 계속 기억이 날 것 같아요.,"going forward too, from now on as well",I feel like I'll keep remembering it going forward.,Native Korean
정도,Noun,네 개 정도 수업은 좋은 수업들이 있었는데.,"about, approximately",There were about four classes that were good.,Sino-Korean 程度
금액,Noun,그 금액에 비해서 수업이 네 개밖에 안 된다는 거는 낭비긴 하죠.,amount (of money),"Compared to the money spent, having only four classes stick with you is a bit of a waste.",Sino-Korean 金額
낭비,Noun,그 금액에 비해서 정말 조금 낭비긴 하죠.,waste,"Compared to the cost, it really is a bit of a waste.",Sino-Korean 浪費
관련,Noun/attributive,관련 대학과 학과를 가는 거는 저도 필요하다고 생각하는데.,"related, relevant",Going to a related college and department for that - I think that's necessary too.,Sino-Korean 關聯
문학,Noun,"문학 아니면 좀, 사회학 이런 쪽은 대학을 안 가고도 공부를 할 수는 있잖아요.",literature,"For fields like literature or sociology, you can study without even going to college.",Sino-Korean 文學
사회학,Noun,"문학 아니면 좀, 사회학 이런 쪽은 대학을 안 가고도 공부를 할 수는 있잖아요.",sociology,"For fields like literature or sociology, you can study without even going to college.",Sino-Korean 社會學
쪽,Noun,사회학 이런 쪽은 대학을 안 가고도 공부를 할 수는 있잖아요.,"side, direction; (here) that kind of field","That kind of field, you can study without even going to college.",Native Korean
사회,Noun,대학 교육이라는 게 한국 사회에서는 공부만을 보진 않잖아요.,society,"This thing called ""college education"" - in Korean society, it's not just about studying.",Sino-Korean 社會
선뜻,Adverb,"선뜻 ""그렇게 해""라고 말 못 할 것 같아요.","readily, promptly, without hesitation","I don't think I could readily say ""go ahead.""",Native Korean
학비,Noun,학비 내려고 모아 둔 돈으로 난 다른 거 하겠다.,"tuition, school fees",I'll do something else with the money I saved up for tuition.,Sino-Korean 學費
그때쯤,Adverb,그때쯤이면 지금으로부터 14년 후면.,around that time,"By around that time, 14 years from now.",Native + 쯤 (approx.)
지금으로부터,Adverb phrase,지금으로부터 14년 후면 정말로 박사가 꼭 필요한 분야는 분명해질 거 같아요.,from now (counting forward),"14 years from now, it'll be clearer which fields really need a doctorate.",Native + Sino 부터 (from)
박사,Noun,박사가 꼭 필요한 분야는 정말 더 분명해질 거 같아요.,"doctorate, PhD (holder)",It'll be clearer which fields really need a doctorate.,Sino-Korean 博士
학위,Noun,박사 학위가 꼭 필요한 분야는 정말 더 분명해질 거 같아요.,(academic) degree,It'll be clearer which fields really need a doctoral degree.,Sino-Korean 學位
분명해지다,Verb,지금으로부터 14년 후면 정말로 분명해질 거 같아요.,to become clear,"14 years from now, it'll really become clear.",Sino 分明 + 아/어지다 (become)
왜냐면,Conjunction,왜냐면요 저는 고등학교까지 정말 열심히 공부를 했어요.,"because, the reason is","Because, up through high school, I studied really hard.","Native, contraction of 왜냐하면"
이것저것,Pronoun,그때 이것저것 시도해도 되고 아무거나 해 봐도 되는 시기여서 좋았던 거 같아요.,"this and that, various things",It was a time when you could try this and that.,Native Korean (이거 + 저거)
아무거나,Pronoun,아무거나 해 봐도 되는 시기여서 좋았던 거 같아요.,"anything, whatever",It was a time when you could try anything.,Native Korean (아무 + 거나)
