Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
감회,Noun,그게 너무 감회가 새롭더라고요.,"deep, reflective emotion",I found that felt so moving.,Sino-Korean 感懷: 感 feel + 懷 cherish/recall
신혼여행,Noun,신혼여행 때는 저희한테 어떤 성격의 아이가 생길지 전혀 모르니까,honeymoon,During the honeymoon we had no idea what kind of personality our child would have.,Sino-Korean 新婚旅行: 新婚 newlywed + 旅行 trip
성격,Noun,신혼여행 때는 저희한테 어떤 성격의 아이가 생길지 전혀 모르니까,"personality, character",We had no idea what personality our child would have.,Sino-Korean 性格: 性 nature + 格 form
데리고 가다,Verb phrase,다섯 살짜리 아이를 데리고 신혼여행지에 똑같이 가니까 너무 신기하더라고요,to take someone along,"It was so fascinating going to the same honeymoon spot, this time bringing our 5-year-old along.","데리다 (bring along, native) + 가다 (to go)"
신혼여행지,Noun,다섯 살짜리 아이를 데리고 신혼여행지에 똑같이 가니까 너무 신기하더라고요,honeymoon destination,It was so fascinating going to the same honeymoon spot with our 5-year-old.,신혼여행 (honeymoon) + 지 (place)
신기하다,Adjective,다섯 살짜리 아이를 데리고 신혼여행지에 똑같이 가니까 너무 신기하더라고요,to feel amazed/fascinated,It was so fascinating.,Sino-Korean 神奇: 神 spirit + 奇 strange/marvelous
투숙객,Noun,전에는 내가 이 호텔 투숙객으로 여기 왔었는데,hotel guest,I used to come here as a hotel guest.,Sino-Korean 投宿客: 投宿 lodging + 客 guest
바람 넣다,Verb phrase,오늘은 튜브에 바람 넣으러 왔구나,"to put air in, to inflate",Today I came to blow up a pool float.,"바람 (wind/air, native) + 넣다 (to put in, native)"
찾아보다,Verb,찾아보실 텐데요,"to look up, to search",You'll probably look it up.,찾다 (to find) + 보다 (to try)
온도계,Noun,온도계를 귀에 꽂고 재면 색깔 바뀌잖아요,thermometer,"If you stick the thermometer in your ear and measure it, the color changes.",Sino-Korean 溫度計: 溫度 temperature + 計 gauge
꽂다,Verb,온도계를 귀에 꽂고 재면 색깔 바뀌잖아요,"to stick in, plug in",You stick the thermometer in your ear.,Native Korean
재다,Verb,온도계를 귀에 꽂고 재면 색깔 바뀌잖아요,to measure,You measure it.,Native Korean
해열제,Noun,해열제 먹여서 좀 내려갔다 싶으면 39.0,fever reducer (medicine),"When you give fever medicine and think it's gone down a bit, it's 39.0.",Sino-Korean 解熱劑: 解熱 reduce fever + 劑 medicine/agent
먹이다,Verb,해열제 먹여서 좀 내려갔다 싶으면 39.0,to feed (causative of 먹다),Feeding her the fever medicine...,먹다 (to eat) + 이 (causative)
내려가다,Verb,해열제 먹여서 좀 내려갔다 싶으면 39.0,"to go down, decrease",It went down a bit.,Native Korean
목록,Noun,안 가려고 목록에서 제외했었던 곳이에요,list,It's a place we'd excluded from the list.,Sino-Korean 目錄: 目 item + 錄 record
제외하다,Verb,안 가려고 목록에서 제외했었던 곳이에요,to exclude,We'd excluded it because we didn't want to go.,Sino-Korean 除外: 除 remove + 外 outside
지나가다,Verb,근데 지나가면서 보니까,but as we were passing by,As we were passing by and looked...,Native Korean
원숭이,Noun,원숭이 숲에 들어가는 입구 앞에,monkey,In front of the entrance to the monkey forest.,Native Korean
숲,Noun,원숭이 숲에 들어가는 입구 앞에,forest,The monkey forest.,Native Korean
