Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
잠꾸러기,Idiomatic noun,쟤는 진짜 잠꾸러기예요.,sleepyhead,That kid is a real sleepyhead.,"Native Korean, 잠(sleep)+꾸러기(one prone to)"
잠을 줄이다,Verb phrase,요즘 잠을 줄이고 공부하고 있어요.,to cut down on sleep,These days I'm cutting down on sleep to study.,"Native Korean, 잠(sleep)+줄이다(reduce)"
눈이 떠지다,Verb phrase,알람 없이도 눈이 떠져요.,to wake up naturally (eyes open on their own),My eyes open on their own even without an alarm.,"Native Korean, 눈(eye)+뜨다 passive form"
잠이 들다,Verb phrase,10시에 잠이 들었어요.,to fall asleep,I fell asleep at 10.,"Native Korean, 잠(sleep)+들다(enter)"
잠을 자다/못 자다,Verb phrase,어제 잠을 잘 못 잤어요.,to sleep / fail to sleep,I didn't sleep well yesterday.,Native Korean
시차 적응하다,Verb phrase,시차 적응하는 데 며칠 걸렸어요.,to adjust to jet lag,It took a few days to adjust to the jet lag.,Sino-Korean 時差(time difference)+適應(adapt)
잠 패턴이 깨지다,Verb phrase,여행 가면 잠 패턴이 깨져요.,for one's sleep pattern to be disrupted,"When I travel, my sleep pattern gets disrupted.","Native/Sino mix, 패턴(pattern, loanword)+깨지다(break)"
식욕이 증가하다/떨어지다,Verb phrase,스트레스를 받으면 식욕이 증가해요.,for one's appetite to increase/decrease,"When I'm stressed, my appetite increases.",Sino-Korean 食慾(appetite)+增加/저하
잠이 부족하다,Adjective phrase,요즘 잠이 부족해서 피곤해요.,"to be short on sleep, sleep-deprived",I'm tired these days because I'm short on sleep.,Sino-Korean 不足(insufficient)
소리를 지르다,Verb phrase,너무 놀라서 소리를 질렀어요.,"to shout, scream",I was so surprised I screamed.,Native Korean
알람을 맞추다,Verb phrase,매일 아침 7시에 알람을 맞춰요.,to set an alarm,I set my alarm for 7am every morning.,Native/loanword 알람(alarm)+맞추다(set)
~ㄹ/할 수밖에 없다,Grammar idiom,아이가 좋아해서 갈 수밖에 없어요.,to have no choice but to ~,"Since the kid loves it, I have no choice but to go.","Native Korean, 수(way)+밖에(only)+없다(none)"
꿀잠 자다,Verb phrase,오늘은 꿀잠 잤어요.,"to sleep like a baby, get great sleep",I slept like a baby today.,"Native Korean slang, 꿀(honey)+잠(sleep)"
시간을 활용하다,Verb phrase,아침 시간을 잘 활용하고 있어요.,to make good use of one's time,I'm making good use of my morning time.,Sino-Korean 活用(utilize)
건강을 위해서,Fixed expression,건강을 위해서 매일 운동해요.,for the sake of one's health,I exercise every day for my health.,Sino-Korean 健康(health)+爲(for the sake of)
