Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
알고 지내다,to know each other and stay in touch,알다 (know) + 고 (connector) + 지내다 (spend time/get along),Verb phrase,친구까진 아니더라도 그냥 알고 지내는 사람.,"Not quite friends, just people you know and keep in touch with."
대화가 통하다,"to click with someone, to communicate well",대화 (conversation) + 가 통하다 (goes through),Phrase,저랑 대화가 잘 통하는 사람이 있었으면 좋겠어요.,I hope there's someone I really click with.
두고 보다,to wait and see,두다 (put aside) + 고 + 보다 (watch),Phrase,두고 볼게요.,I'll wait and see.
정신이 없다,to be overwhelmed/frazzled (too busy to think straight),정신 (mind/spirit) + 이 없다 (there isn't),Phrase,아이 키우느라 정신이 없어요.,I'm swamped from raising my kid.
밤을 새우다,to stay up all night,밤 (night) + 을 + 새우다 (stay awake through),Verb phrase,시험공부하느라 밤을 새웠어요.,I pulled an all-nighter studying for the exam.
-(으)ㄴ 지 되다,it's been [time] since ___,past modifier -(으)ㄴ + 지 (since) + 되다 (become)/지나다 (pass),Grammar pattern,한국에 온 지 3년 됐어요.,It's been 3 years since I came to Korea.
-잖아요,you know.../as you know (reminder of shared info),verb/adj stem + 잖아요,Grammar pattern,오늘 제 생일이잖아요.,"It's my birthday today, you know."
-더라도,even if/even though (concessive),verb/adj stem + 더라도,Grammar pattern,비싸더라도 살 거예요.,"Even if it's expensive, I'll buy it."
-까지 (extent),even to the point of / as far as (upper limit on a scale),"까지 (until/as far as, extended to abstract scales)",Grammar pattern,그렇게까지 화낼 필요는 없었어요.,There was no need to get angry to that extent.
-을/를 통해서,through/via,통하다 (go through/connect) + 아서 (connector),Grammar pattern,친구를 통해서 그 소식을 들었어요.,I heard the news through a friend.
-던,retrospective past modifier (used to be / was in the process of),-더- (retrospective) + -(으)ㄴ (modifier),Grammar pattern,어렸을 때 살던 동네예요.,It's the neighborhood I used to live in as a kid.
-게 되다,"to come to / end up ___ing (change of state, not by one's own will)",verb stem + 게 + 되다 (become),Grammar pattern,한국어를 배우게 됐어요.,I ended up learning Korean.
N(이)라고 하다,to quote/report a statement,plain-form clause + 라고/다고 + 하다,Grammar pattern,친구가 바쁘다고 했어요.,My friend said they're busy.
-나(요)?,self-questioning ending (I wonder if.../do I really...?),verb stem + 나(요),Grammar pattern,이게 맞나?,"Is this right, I wonder?"
-느라(고),because busy doing (leads to a negative/hindering result),verb stem + 느라(고),Grammar pattern,공부하느라 바빠서 연락을 못 했어요.,I was so busy studying that I couldn't get in touch.
-거든요,"sentence-final ending giving a reason/background (you see, because)",verb/adj stem + 거든요,Grammar pattern,저 오늘 못 가요. 약속이 있거든요.,"I can't go today. I have plans, you see."
-고 하니까,since/as things are (softened reason),하다 (loosely echoing quoting) + -(으)니까 (because),Grammar pattern,날씨도 좋고 하니까 산책 갈까요?,"Since the weather's nice and all, shall we go for a walk?"
-기도 하다,-기 (nominalizer) + 도 (also/even) + verb/adj,verb stem + 기 (nominalizer) + 도,Grammar pattern,이해하기도 쉬운 책이에요.,It's also an easy-to-understand book.
-(으)ㄹ걸요,I bet.../probably (confident guess),verb/adj stem + -(으)ㄹ걸요,Grammar pattern,아마 비 올걸요.,I bet it'll rain.
-(으)ㄹ수록,"the more..., the more...",verb/adj stem + -(으)ㄹ수록,Grammar pattern,나이가 들수록 건강이 중요해요.,"The older you get, the more health matters."
-던데요,retrospective observation (I noticed that.../from what I saw),-더- (retrospective) + -ㄴ데요,Grammar pattern,어제 보니까 사람 많던데요.,I noticed there were a lot of people there yesterday.
-든(지) ... -든(지),whether... or... (irrelevant alternatives),verb/adj stem + 든(지) x2,Grammar pattern,비가 오든 안 오든 갈 거예요.,"Whether it rains or not, I'm going."
-(으)ㄴ 적 있다/없다,to have/not have ever done ___ (bound noun 적 = occasion),modifier + 적 (occasion) + 있다/없다,Grammar pattern,가 본 적 없어요.,I've never been (there).
-아/어 보니까,"when I tried/checked, [I found/realized]...",-아/어 보다 (try) + -(으)니까 (discovery),Grammar pattern,먹어 보니까 진짜 맵더라고요.,"When I tried eating it, it was really spicy."
-는지/-(으)ㄴ지,embedded question (whether/what/how...),question clause + 는지/(으)ㄴ지,Grammar pattern,어떤 사람인지 몰라요.,I don't know what kind of person they are.
-고 싶은 마음이 있다,there's a part of me that wants to... (softer than -고 싶어요),-고 싶다 (want to) + -은 마음 (feeling) + 이 있다,Phrase,혼자 여행 가고 싶은 마음도 있어요.,There's also a part of me that wants to travel alone.
