Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
전문 용어,Noun,그러니깐 전문 용어로 잠꾸러기.,"technical term, jargon","So, in technical terms, a 'sleepyhead.'",Sino-Korean 專門(specialized)+用語(term)
되게,Adverb,되게 어릴 때 들어 본 이야기 같은데요.,"really, quite",That sounds like something I heard a lot as a kid.,"Native Korean, colloquial intensifier"
피하다,Verb,피하셔야죠.,to avoid,"You should avoid (me), right.",Native Korean
부족하다,Adjective,저는 잠이 부족해도 별로 기분이 나빠지지 않는데.,"to be lacking, insufficient","Even if I'm short on sleep, my mood doesn't really get worse.",Sino-Korean 不足(insufficient)
나빠지다,Verb,기분이 나빠지거나 그러진 않는데.,to become bad/worse,It doesn't get worse mood-wise or anything like that.,"Native Korean, 나쁘다+아/어지다 (become)"
까다롭다,Adjective,저는 평소에 그�я 까다로운 거 같아요.,"picky, particular, fussy",I think I'm just generally a picky person.,"Native Korean, ㅂ-irregular"
평소에,Adverb,평소에 잠 잘 자요?,"usually, normally",Do you usually sleep well?,Sino-Korean 平素(usual)
눈을 뜨다,Expression,아침에 6시에 눈을 뜨고.,"to open one's eyes, to wake up",I open my eyes at 6 in the morning.,"Native Korean, 눈(eye)+뜨다(open)"
정도,Noun,한 두 시간 정도를 저를 위한 시간으로 보낼 수 있는데.,"about, approximately, degree",I can spend about two hours as time for myself.,Sino-Korean 程度(degree)
위하다,Verb,저를 위한 시간으로 잘 보낼 수 있는데.,to be for the sake of,...as time that is for myself.,Sino-Korean 爲(for the sake of)
보내다,Verb,시간으로 잘 보낼 수 있는데.,to spend (time),I can spend the time well.,Native Korean
신기하다,Adjective,진짜 신기하게 밤 10시 되면 졸리더라고요.,"amazing, surprising, curious","Surprisingly, I get sleepy once it's 10pm.",Sino-Korean 神奇(mysteriously wonderful)
졸리다,Adjective,밤 10시 되면 졸리더라고요.,to feel sleepy,I get sleepy at 10pm at night.,Native Korean
워낙,Adverb,제 딸이 워낙 그런 거 안 가리는 거 같아요.,"inherently, by nature",My daughter just doesn't seem to be picky about that sort of thing at all.,Native Korean
